"Date","Price","Open","High","Low","Vol.","Change %"
"08/17/2026","9.5087","9.5328","9.5191","9.4766","","-0.10%"
"08/16/2026","9.5182","9.5328","9.5346","9.5129","","-0.10%"
"08/14/2026","9.5276","9.5641","9.5739","9.4936","","-0.43%"
"08/13/2026","9.5688","9.5729","9.6006","9.5338","","-0.15%"
"08/12/2026","9.5828","9.5220","9.5931","9.4986","","0.64%"
"08/11/2026","9.5222","9.5003","9.5308","9.4768","","0.28%"
"08/10/2026","9.4955","9.4772","9.5382","9.4430","","0.11%"
"08/07/2026","9.4847","9.5180","9.5269","9.4344","","-0.29%"
"08/06/2026","9.5120","9.4834","9.5222","9.4600","","0.26%"
"08/05/2026","9.4871","9.5200","9.5545","9.4702","","-0.35%"
"08/04/2026","9.5204","9.5588","9.5882","9.5141","","-0.40%"
"08/03/2026","9.5584","9.5370","9.6047","9.4604","","0.40%"
"07/31/2026","9.5205","9.5298","9.6174","9.4965","","-0.12%"
"07/30/2026","9.5317","9.6485","9.6757","9.5088","","-1.21%"
"07/29/2026","9.6484","9.6869","9.7377","9.6224","","-0.44%"
"07/28/2026","9.6907","9.7381","9.7580","9.6685","","-0.35%"
"07/27/2026","9.7252","9.7106","9.7450","9.6594","","0.06%"
"07/24/2026","9.7194","9.7549","9.7700","9.6901","","-0.36%"
"07/23/2026","9.7547","9.7012","9.7790","9.6709","","0.61%"
"07/22/2026","9.6959","9.7072","9.7251","9.6837","","-0.13%"
"07/21/2026","9.7083","9.6829","9.7135","9.6584","","0.27%"
"07/20/2026","9.6817","9.6501","9.6947","9.6270","","0.35%"
"07/17/2026","9.6481","9.6421","9.6722","9.6311","","0.06%"
"07/16/2026","9.6419","9.5976","9.6597","9.5767","","0.55%"
"07/15/2026","9.5889","9.6668","9.6962","9.5748","","-0.80%"
"07/14/2026","9.6664","9.7186","9.7354","9.6005","","-0.54%"
"07/13/2026","9.7186","9.6596","9.7271","9.6359","","0.58%"
"07/10/2026","9.6627","9.6710","9.6804","9.6226","","-0.03%"
"07/09/2026","9.6660","9.6933","9.7115","9.6469","","-0.34%"
"07/08/2026","9.6985","9.6861","9.7434","9.6673","","0.04%"
"07/07/2026","9.6949","9.6275","9.7012","9.6092","","0.68%"
"07/06/2026","9.6296","9.6496","9.7024","9.5540","","-0.27%"
"07/03/2026","9.6559","9.6765","9.6998","9.6306","","-0.25%"
"07/02/2026","9.6802","9.7288","9.7425","9.6364","","-0.53%"
"07/01/2026","9.7313","9.6986","9.7709","9.6888","","0.30%"
"06/30/2026","9.7023","9.7124","9.7553","9.6751","","-0.11%"
"06/29/2026","9.7132","9.7235","9.7527","9.7005","","-0.22%"
"06/26/2026","9.7347","9.7260","9.7648","9.6837","","0.03%"
"06/25/2026","9.7313","9.7430","9.7734","9.7022","","-0.14%"
"06/24/2026","9.7451","9.7370","9.7958","9.7293","","0.08%"
"06/23/2026","9.7372","9.6150","9.7528","9.6060","","1.25%"
"06/22/2026","9.6169","9.5845","9.6283","9.5657","","0.36%"
"06/19/2026","9.5827","9.5862","9.6322","9.5587","","-0.04%"
"06/18/2026","9.5870","9.5075","9.5980","9.4724","","0.80%"
"06/17/2026","9.5106","9.3678","9.5384","9.3470","","1.51%"
"06/16/2026","9.3688","9.3998","9.4392","9.3521","","-0.32%"
"06/15/2026","9.3985","9.4345","9.4412","9.3424","","-0.54%"
"06/12/2026","9.4492","9.4411","9.4793","9.3960","","0.08%"
"06/11/2026","9.4416","9.5211","9.5640","9.4296","","-0.95%"
"06/10/2026","9.5324","9.4709","9.5324","9.4478","","0.66%"
"06/09/2026","9.4702","9.4255","9.4961","9.3973","","0.42%"
"06/08/2026","9.4302","9.4628","9.5148","9.3989","","-0.36%"
"06/05/2026","9.4642","9.3802","9.4875","9.3279","","0.85%"
"06/04/2026","9.3842","9.4058","9.4315","9.3314","","-0.29%"
"06/03/2026","9.4112","9.3143","9.4168","9.2939","","1.05%"
"06/02/2026","9.3130","9.2947","9.3303","9.2719","","0.06%"
"06/01/2026","9.3070","9.2451","9.3401","9.2279","","0.69%"
"05/29/2026","9.2428","9.2495","9.2744","9.2106","","-0.11%"
"05/28/2026","9.2526","9.2927","9.3540","9.2399","","-0.43%"
"05/27/2026","9.2927","9.3079","9.3409","9.2345","","-0.17%"
"05/26/2026","9.3086","9.2785","9.3401","9.2733","","0.26%"
"05/25/2026","9.2845","9.3374","9.3374","9.2633","","-0.84%"
"05/22/2026","9.3633","9.3402","9.3857","9.3263","","0.23%"
"05/21/2026","9.3419","9.3354","9.4020","9.3038","","0.11%"
"05/20/2026","9.3318","9.4152","9.4324","9.3093","","-0.78%"
"05/19/2026","9.4051","9.3843","9.4380","9.3692","","0.23%"
"05/18/2026","9.3836","9.4376","9.4816","9.3751","","-0.71%"
"05/15/2026","9.4509","9.3581","9.4675","9.3497","","0.97%"
"05/14/2026","9.3600","9.3298","9.3682","9.3012","","0.37%"
"05/13/2026","9.3258","9.2983","9.3403","9.2785","","0.35%"
"05/12/2026","9.2929","9.2105","9.3180","9.1961","","0.80%"
"05/11/2026","9.2188","9.2251","9.2732","9.1816","","0.03%"
"05/08/2026","9.2162","9.2797","9.2928","9.1920","","-0.70%"
"05/07/2026","9.2813","9.2533","9.2849","9.1879","","0.49%"
"05/06/2026","9.2364","9.2678","9.2822","9.1651","","-0.34%"
"05/05/2026","9.2677","9.2756","9.3178","9.2377","","-0.25%"
"05/04/2026","9.2908","9.2207","9.3017","9.1932","","0.83%"
"05/01/2026","9.2145","9.2435","9.2615","9.1616","","-0.31%"
"04/30/2026","9.2429","9.3176","9.3418","9.2196","","-0.83%"
"04/29/2026","9.3204","9.2655","9.3352","9.2525","","0.53%"
"04/28/2026","9.2711","9.2218","9.2986","9.2067","","0.56%"
"04/27/2026","9.2193","9.2523","9.2728","9.1784","","0.00%"
"04/24/2026","9.2197","9.2674","9.2831","9.2104","","-0.46%"
"04/23/2026","9.2625","9.2166","9.2838","9.1977","","0.54%"
"04/22/2026","9.2125","9.2021","9.2255","9.1447","","0.18%"
"04/21/2026","9.1959","9.1277","9.2141","9.1168","","0.76%"
"04/20/2026","9.1261","9.1764","9.2156","9.1184","","-0.43%"
"04/17/2026","9.1653","9.1932","9.2150","9.0834","","-0.25%"
"04/16/2026","9.1881","9.1654","9.2080","9.1227","","0.27%"
"04/15/2026","9.1637","9.1869","9.2256","9.1512","","-0.24%"
"04/14/2026","9.1859","9.1864","9.2111","9.1443","","-0.09%"
"04/13/2026","9.1941","9.3229","9.3585","9.1752","","-0.77%"
"04/10/2026","9.2657","9.2686","9.3261","9.2090","","-0.10%"
"04/09/2026","9.2747","9.3149","9.3453","9.2433","","-0.46%"
"04/08/2026","9.3175","9.4748","9.4834","9.1728","","-1.65%"
"04/07/2026","9.4737","9.4523","9.5641","9.4201","","0.23%"
"04/06/2026","9.4522","9.4804","9.5195","9.3805","","-0.36%"
"04/03/2026","9.4864","9.4281","9.4964","9.4127","","0.59%"
"04/02/2026","9.4312","9.4096","9.5158","9.3834","","0.29%"
"04/01/2026","9.4040","9.4706","9.4786","9.3559","","-0.69%"
"03/31/2026","9.4694","9.5486","9.5867","9.4583","","-0.85%"
"03/30/2026","9.5508","9.4603","9.5693","9.4309","","0.83%"
"03/27/2026","9.4721","9.4222","9.4843","9.3977","","0.37%"
"03/26/2026","9.4370","9.3400","9.4518","9.3362","","0.90%"
"03/25/2026","9.3531","9.3028","9.3590","9.2686","","0.53%"
"03/24/2026","9.3040","9.3166","9.3878","9.2802","","-0.20%"
"03/23/2026","9.3226","9.3408","9.4956","9.2685","","-0.22%"
"03/20/2026","9.3429","9.2828","9.3912","9.2620","","0.59%"
"03/19/2026","9.2882","9.4222","9.4299","9.2506","","-1.42%"
"03/18/2026","9.4221","9.2818","9.4280","9.2616","","1.54%"
"03/17/2026","9.2789","9.3348","9.3868","9.2605","","-0.69%"
"03/16/2026","9.3430","9.4637","9.4790","9.3201","","-1.46%"
"03/13/2026","9.4810","9.3573","9.4901","9.3380","","1.29%"
"03/12/2026","9.3603","9.2292","9.3653","9.2149","","1.40%"
"03/11/2026","9.2314","9.1809","9.2417","9.1377","","0.55%"
"03/10/2026","9.1806","9.1346","9.1921","9.0982","","0.50%"
"03/09/2026","9.1353","9.2267","9.3022","9.1281","","-0.44%"
"03/06/2026","9.1753","9.2275","9.2737","9.1603","","-0.55%"
"03/05/2026","9.2258","9.1775","9.2822","9.1594","","0.58%"
"03/04/2026","9.1730","9.2670","9.2986","9.1514","","-1.01%"
"03/03/2026","9.2664","9.1611","9.3512","9.1471","","1.15%"
"03/02/2026","9.1606","9.0551","9.1854","9.0394","","1.45%"
"02/27/2026","9.0295","9.0596","9.0719","9.0078","","-0.29%"
"02/26/2026","9.0561","9.0229","9.0813","9.0042","","0.40%"
"02/25/2026","9.0202","9.0461","9.0864","9.0120","","-0.41%"
"02/24/2026","9.0573","9.0559","9.0902","9.0337","","-0.08%"
"02/23/2026","9.0644","9.0582","9.0969","8.9998","","0.06%"
"02/20/2026","9.0593","9.0654","9.0972","9.0027","","-0.07%"
"02/19/2026","9.0657","9.0392","9.1080","9.0075","","0.32%"
"02/18/2026","9.0366","8.9739","9.0486","8.9533","","0.79%"
"02/17/2026","8.9655","8.9487","9.0360","8.9285","","0.19%"
"02/16/2026","8.9482","8.9251","8.9730","8.8951","","0.29%"
"02/13/2026","8.9226","8.9320","8.9644","8.9066","","-0.08%"
"02/12/2026","8.9296","8.8931","8.9447","8.8663","","0.33%"
"02/11/2026","8.9001","8.8884","8.9426","8.8435","","0.14%"
"02/10/2026","8.8874","8.9388","8.9482","8.8738","","-0.39%"
