"Date","Price","Open","High","Low","Vol.","Change %"
"08/17/2026","161.54","160.15","161.63","159.14","5.01M","0.90%"
"08/14/2026","160.10","160.20","161.26","159.25","10.23M","0.94%"
"08/13/2026","158.61","158.03","159.76","157.43","10.54M","-0.71%"
"08/12/2026","159.75","158.55","160.23","157.56","13.22M","-0.03%"
"08/11/2026","159.80","159.65","161.67","159.27","13.74M","0.01%"
"08/10/2026","159.79","154.50","160.37","154.45","19.76M","4.41%"
"08/07/2026","153.04","152.64","153.67","151.53","18.46M","-1.16%"
"08/06/2026","154.84","154.22","154.87","151.84","11.88M","2.12%"
"08/05/2026","151.63","155.04","155.04","151.15","12.23M","-1.51%"
"08/04/2026","153.96","151.62","154.84","149.09","14.35M","-0.71%"
"08/03/2026","155.06","153.46","155.91","152.65","14.53M","-0.24%"
"07/31/2026","155.44","153.74","156.16","152.14","15.71M","-0.97%"
"07/30/2026","156.97","155.09","157.78","154.52","12.58M","0.14%"
"07/29/2026","156.75","157.72","159.07","155.85","14.58M","2.42%"
"07/28/2026","153.04","154.17","156.18","151.88","16.30M","-1.12%"
"07/27/2026","154.77","153.07","155.42","152.50","13.96M","-1.38%"
"07/24/2026","156.94","156.99","158.71","155.68","12.09M","0.03%"
"07/23/2026","156.89","156.60","158.57","156.06","15.82M","1.58%"
"07/22/2026","154.45","153.86","154.80","152.95","13.79M","1.81%"
"07/21/2026","151.71","149.01","151.76","148.48","13.15M","2.26%"
"07/20/2026","148.36","146.50","149.09","146.23","12.15M","0.68%"
"07/17/2026","147.36","149.03","150.00","147.17","19.03M","0.97%"
"07/16/2026","145.95","145.27","146.87","144.55","13.52M","1.00%"
"07/15/2026","144.51","145.09","145.09","142.03","13.44M","-0.40%"
"07/14/2026","145.09","145.51","146.00","143.89","16.10M","0.40%"
"07/13/2026","144.51","140.92","145.23","140.49","18.72M","4.05%"
"07/10/2026","138.88","137.90","138.96","137.14","9.75M","1.03%"
"07/09/2026","137.46","139.66","140.05","137.12","14.11M","-2.60%"
"07/08/2026","141.13","143.43","143.99","139.81","18.29M","-0.40%"
"07/07/2026","141.69","138.56","141.74","138.13","14.67M","3.85%"
"07/06/2026","136.44","136.54","137.37","136.01","13.92M","-0.47%"
"07/02/2026","137.09","137.15","139.14","136.33","13.71M","0.59%"
"07/01/2026","136.28","136.53","137.49","135.63","12.43M","-0.32%"
"06/30/2026","136.72","136.48","137.30","135.33","28.78M","0.49%"
"06/29/2026","136.06","136.58","137.39","135.39","11.97M","-0.35%"
"06/26/2026","136.54","136.97","137.58","135.91","22.68M","-0.73%"
"06/25/2026","137.55","135.64","138.07","134.95","13.30M","0.47%"
"06/24/2026","136.90","137.12","137.64","135.59","16.21M","-2.03%"
"06/23/2026","139.73","139.46","140.39","138.50","13.70M","0.91%"
"06/22/2026","138.47","138.54","139.00","137.02","15.78M","0.48%"
"06/18/2026","137.81","138.32","138.46","135.85","48.06M","-2.08%"
"06/17/2026","140.74","141.22","142.34","140.32","16.66M","-0.79%"
"06/16/2026","141.86","140.19","142.15","139.98","18.93M","0.67%"
"06/15/2026","140.92","139.74","141.98","137.72","23.63M","-4.14%"
"06/12/2026","147.01","145.63","148.91","145.15","17.71M","0.28%"
"06/11/2026","146.60","152.30","152.49","146.42","17.29M","-2.67%"
"06/10/2026","150.62","151.23","152.49","149.56","14.60M","1.15%"
"06/09/2026","148.91","150.91","151.13","147.78","18.16M","-1.87%"
"06/08/2026","151.75","151.15","153.81","150.90","13.87M","1.22%"
"06/05/2026","149.92","152.01","152.13","149.30","16.58M","-1.39%"
"06/04/2026","152.04","152.05","153.43","150.94","11.80M","-0.32%"
"06/03/2026","152.53","150.60","154.91","150.02","14.37M","1.99%"
"06/02/2026","149.56","149.02","150.83","148.50","10.46M","0.12%"
"06/01/2026","149.38","147.02","149.65","147.00","16.73M","2.84%"
"05/29/2026","145.26","146.18","146.93","144.71","27.96M","-1.16%"
"05/28/2026","146.96","149.34","150.21","146.87","14.01M","-0.64%"
"05/27/2026","147.90","147.23","148.68","145.75","16.24M","-1.27%"
"05/26/2026","149.81","153.50","154.55","149.47","13.06M","-3.30%"
"05/22/2026","154.92","154.03","155.55","153.17","12.95M","-0.24%"
"05/21/2026","155.29","158.42","159.39","153.46","17.06M","-0.63%"
"05/20/2026","156.28","161.61","163.68","156.27","18.51M","-3.86%"
"05/19/2026","162.55","161.50","163.32","159.64","20.72M","1.28%"
"05/18/2026","160.49","157.32","161.73","155.23","20.07M","1.63%"
"05/15/2026","157.92","153.75","158.00","153.00","27.88M","3.36%"
"05/14/2026","152.78","151.90","153.12","151.26","11.33M","0.80%"
"05/13/2026","151.57","150.06","151.79","149.68","15.77M","0.62%"
"05/12/2026","150.63","151.25","151.81","149.77","16.44M","0.63%"
"05/11/2026","149.68","146.02","149.72","146.00","14.85M","3.53%"
"05/08/2026","144.57","145.85","146.50","143.92","19.55M","-1.37%"
"05/07/2026","146.58","146.80","147.08","144.19","22.51M","-1.42%"
"05/06/2026","148.69","149.07","150.33","147.09","20.53M","-4.00%"
"05/05/2026","154.88","153.10","155.29","152.41","12.49M","0.77%"
"05/04/2026","153.69","152.67","154.47","149.51","14.24M","0.62%"
"05/01/2026","152.75","152.61","155.01","151.13","15.46M","-1.02%"
"04/30/2026","154.33","152.43","155.69","151.34","22.89M","-0.22%"
