"Date","Price","Open","High","Low","Vol.","Change %"
"08/17/2026","336.88","335.00","338.96","332.95","2.04M","-0.58%"
"08/14/2026","338.86","340.81","340.81","336.01","3.07M","-0.83%"
"08/13/2026","341.70","347.00","347.75","340.51","2.44M","-0.50%"
"08/12/2026","343.43","352.00","353.87","343.03","3.97M","-3.12%"
"08/11/2026","354.48","352.29","358.36","350.60","2.55M","1.05%"
"08/10/2026","350.78","352.10","354.00","347.06","3.12M","-1.36%"
"08/07/2026","355.62","351.51","356.83","348.74","3.58M","1.75%"
"08/06/2026","349.52","353.50","353.55","347.51","2.62M","-1.03%"
"08/05/2026","353.14","350.15","354.55","348.15","3.14M","1.41%"
"08/04/2026","348.24","340.23","350.86","339.35","4.28M","2.42%"
"08/03/2026","340.02","339.80","343.64","333.72","2.91M","2.43%"
"07/31/2026","331.96","332.44","334.00","328.80","4.96M","-0.42%"
"07/30/2026","333.35","334.99","335.69","330.25","6.28M","-1.45%"
"07/29/2026","338.27","340.38","345.27","336.96","4.03M","-1.80%"
"07/28/2026","344.47","342.64","349.42","342.60","4.31M","2.49%"
"07/27/2026","336.09","339.39","341.89","335.35","3.62M","0.93%"
"07/24/2026","332.98","325.07","333.46","323.23","3.87M","2.55%"
"07/23/2026","324.71","325.30","328.23","323.05","4.52M","-2.03%"
"07/22/2026","331.45","333.53","336.55","330.71","2.91M","-0.05%"
"07/21/2026","331.60","331.30","333.00","327.00","3.11M","-0.43%"
"07/20/2026","333.04","339.97","340.20","331.40","4.13M","-1.72%"
"07/17/2026","338.87","348.93","353.98","338.09","4.43M","-2.63%"
"07/16/2026","348.02","341.55","350.81","340.64","3.81M","1.93%"
"07/15/2026","341.44","338.99","346.25","337.26","3.95M","1.10%"
"07/14/2026","337.74","339.52","341.74","336.57","2.81M","0.19%"
"07/13/2026","337.11","344.00","345.11","335.42","3.65M","-1.80%"
"07/10/2026","343.30","339.55","344.40","337.90","2.75M","1.35%"
"07/09/2026","338.73","337.76","340.73","335.61","2.78M","0.75%"
"07/08/2026","336.21","337.98","337.98","330.66","4.19M","-2.61%"
"07/07/2026","345.21","355.06","355.42","344.48","3.59M","-1.55%"
"07/06/2026","350.65","357.82","358.85","345.80","4.46M","-2.03%"
"07/02/2026","357.90","352.84","358.19","347.65","3.12M","2.01%"
"07/01/2026","350.84","353.98","357.12","350.84","4.04M","-0.52%"
"06/30/2026","352.68","350.68","353.50","347.30","4.58M","0.53%"
