"Date","Price","Open","High","Low","Vol.","Change %"
"08/17/2026","147.12","148.55","150.32","145.51","13.32M","-2.26%"
"08/14/2026","150.52","148.55","156.39","148.80","21.91M","-3.65%"
"08/13/2026","156.22","151.98","159.26","151.91","25.74M","1.92%"
"08/12/2026","153.28","152.81","154.89","147.89","43.56M","5.36%"
"08/11/2026","145.48","151.20","151.99","144.24","28.76M","-3.69%"
"08/10/2026","151.05","148.26","151.99","146.62","24.27M","2.74%"
"08/07/2026","147.02","145.32","147.16","142.34","22.87M","2.47%"
"08/06/2026","143.47","139.25","146.58","138.72","23.07M","-0.64%"
"08/05/2026","144.39","145.00","146.39","142.50","23.52M","-0.93%"
"08/04/2026","145.74","141.01","148.70","141.01","43.72M","2.74%"
"08/03/2026","141.85","131.92","143.07","130.21","49.70M","9.22%"
"07/31/2026","129.87","130.07","132.40","125.70","34.44M","1.81%"
"07/30/2026","127.56","122.87","128.34","121.58","41.34M","8.34%"
"07/29/2026","117.74","119.42","121.92","116.20","28.08M","-1.85%"
"07/28/2026","119.96","118.18","122.33","114.50","32.67M","0.05%"
"07/27/2026","119.90","118.00","121.99","116.80","36.92M","4.27%"
"07/24/2026","114.99","122.47","123.08","114.75","46.41M","-4.21%"
"07/23/2026","120.04","123.96","124.70","119.44","30.90M","-4.61%"
"07/22/2026","125.84","126.18","128.84","124.70","21.10M","-0.95%"
"07/21/2026","127.05","122.81","127.42","122.21","27.75M","4.67%"
"07/20/2026","121.38","124.27","125.49","120.03","36.79M","-3.98%"
"07/17/2026","126.41","121.70","128.43","121.50","39.92M","1.77%"
"07/16/2026","124.21","131.48","131.78","123.66","54.78M","-6.25%"
"07/15/2026","132.49","130.56","133.90","128.84","48.52M","3.56%"
"07/14/2026","127.94","132.00","132.76","127.60","52.67M","-2.74%"
"07/13/2026","131.54","139.03","139.65","131.35","56.69M","-6.47%"
"07/10/2026","140.64","145.65","145.68","139.26","29.84M","-2.48%"
"07/09/2026","144.22","141.42","149.07","140.94","35.22M","2.65%"
"07/08/2026","140.49","139.05","141.84","137.54","34.61M","-0.78%"
"07/07/2026","141.60","143.72","145.56","137.55","47.20M","-1.50%"
"07/06/2026","143.76","144.30","145.62","141.16","36.68M","2.49%"
"07/02/2026","140.27","143.30","147.06","138.83","44.27M","-1.56%"
"07/01/2026","142.50","144.49","147.55","142.50","45.96M","-2.76%"
"06/30/2026","146.55","147.25","149.93","144.48","35.93M","-0.82%"
"06/29/2026","147.76","153.94","154.50","145.20","34.31M","-0.52%"
"06/26/2026","148.53","150.26","153.54","148.00","36.53M","-2.58%"
"06/25/2026","152.46","157.35","157.62","150.36","36.91M","-3.22%"
"06/24/2026","157.53","162.48","165.75","155.35","38.31M","-4.62%"
"06/23/2026","165.16","170.23","174.33","164.61","33.33M","-5.66%"
"06/22/2026","175.07","182.31","184.58","174.40","22.94M","-5.00%"
"06/18/2026","184.29","183.01","187.99","177.70","31.39M","0.41%"
"06/17/2026","183.53","186.15","190.19","182.58","16.62M","-2.55%"
"06/16/2026","188.33","190.01","195.32","187.66","16.99M","-2.24%"
"06/15/2026","192.64","187.39","195.32","186.21","20.28M","4.62%"
"06/12/2026","184.13","185.01","185.58","179.00","29.56M","0.02%"
"06/11/2026","184.10","179.67","184.77","175.28","63.68M","-8.53%"
"06/10/2026","201.26","198.50","212.48","198.18","46.11M","-2.21%"
"06/09/2026","205.81","213.90","220.50","197.79","26.04M","-2.84%"
"06/08/2026","211.82","217.75","219.06","209.33","17.23M","-0.87%"
"06/05/2026","213.68","229.49","231.44","209.45","29.02M","-9.59%"
"06/04/2026","236.34","227.00","238.95","224.00","19.99M","2.61%"
"06/03/2026","230.33","240.48","240.51","227.60","23.64M","-5.83%"
"06/02/2026","244.58","242.80","249.00","238.84","30.29M","-1.44%"
"06/01/2026","248.15","230.50","250.25","224.60","48.39M","9.91%"
"05/29/2026","225.78","209.00","226.29","208.01","41.08M","10.84%"
"05/28/2026","203.70","194.04","205.00","193.38","25.34M","6.67%"
"05/27/2026","190.96","191.48","192.14","187.92","12.13M","-1.09%"
"05/26/2026","193.06","193.30","195.20","190.56","12.86M","0.51%"
"05/22/2026","192.08","191.67","197.00","191.10","10.88M","1.22%"
"05/21/2026","189.77","189.01","192.82","187.20","12.12M","0.86%"
"05/20/2026","188.16","179.94","188.22","178.80","16.52M","3.69%"
"05/19/2026","181.46","186.00","188.72","180.93","16.72M","-2.76%"
"05/18/2026","186.61","190.00","190.76","183.27","19.11M","-3.29%"
"05/15/2026","192.95","190.49","196.43","188.90","15.75M","-1.36%"
"05/14/2026","195.61","188.18","200.71","185.45","22.54M","3.08%"
"05/13/2026","189.76","189.03","191.57","185.06","15.79M","1.57%"
"05/12/2026","186.83","192.92","192.92","180.87","22.12M","-3.62%"
"05/11/2026","193.84","192.15","195.68","190.60","16.89M","-1.08%"
"05/08/2026","195.95","192.58","198.00","190.21","21.16M","0.70%"
"05/07/2026","194.59","198.61","200.15","190.80","31.80M","0.29%"
"05/06/2026","194.03","186.20","194.29","182.67","27.69M","4.68%"
"05/05/2026","185.35","182.13","186.52","179.00","23.50M","2.81%"
"05/04/2026","180.29","176.02","183.50","174.26","33.50M","4.92%"
"05/01/2026","171.83","166.42","174.30","166.15","26.32M","6.47%"
"04/30/2026","161.39","162.02","165.18","160.33","21.02M","-1.49%"
"04/29/2026","163.83","164.04","164.76","160.65","20.59M","-1.28%"
"04/28/2026","165.96","162.16","168.70","162.05","33.72M","-4.05%"
"04/27/2026","172.96","172.58","173.55","167.90","21.62M","-0.18%"
"04/24/2026","173.28","180.51","180.71","168.80","33.21M","-1.70%"
"04/23/2026","176.28","180.40","181.89","174.08","37.08M","-5.98%"
"04/22/2026","187.50","186.18","189.18","182.80","32.45M","3.49%"
"04/21/2026","181.17","178.35","185.34","176.01","39.64M","2.02%"
"04/20/2026","177.58","176.81","177.76","173.51","22.33M","1.44%"
"04/17/2026","175.06","182.93","184.50","173.36","45.28M","-1.84%"
"04/16/2026","178.34","176.42","180.27","173.80","47.00M","5.02%"
"04/15/2026","169.81","166.89","172.56","166.21","43.01M","4.18%"
"04/14/2026","163.00","167.93","169.40","161.56","59.78M","4.74%"
"04/13/2026","155.62","139.77","155.91","139.72","50.00M","12.69%"
"04/10/2026","138.09","137.32","140.16","134.57","26.17M","0.17%"
"04/09/2026","137.86","142.20","142.80","136.00","30.41M","-4.04%"
"04/08/2026","143.66","150.30","151.46","142.90","23.53M","0.34%"
"04/07/2026","143.17","143.78","144.57","139.94","17.25M","-1.63%"
"04/06/2026","145.54","147.44","148.55","143.85","12.56M","-0.57%"
"04/02/2026","146.38","142.78","146.44","140.30","14.38M","0.79%"
"04/01/2026","145.23","149.09","149.65","144.67","20.50M","-1.28%"
"03/31/2026","147.11","140.30","147.40","139.85","24.49M","5.99%"
"03/30/2026","138.80","140.04","141.20","136.95","20.13M","-0.62%"
"03/27/2026","139.66","140.93","141.69","138.30","17.93M","-2.21%"
"03/26/2026","142.81","143.89","146.47","142.54","16.96M","-2.20%"
"03/25/2026","146.02","149.23","149.84","144.60","20.68M","-0.73%"
"03/24/2026","147.09","153.00","153.90","146.85","26.12M","-4.70%"
"03/23/2026","154.34","151.42","155.78","150.71","19.93M","3.11%"
"03/20/2026","149.68","153.05","153.25","147.95","37.55M","-3.76%"
"03/19/2026","155.52","150.46","156.92","148.89","22.05M","1.71%"
"03/18/2026","152.90","153.40","154.97","152.04","18.05M","-1.16%"
"03/17/2026","154.69","155.44","158.92","153.50","23.93M","-0.82%"
"03/16/2026","155.97","156.06","158.74","154.51","21.61M","0.55%"
"03/13/2026","155.11","159.05","160.77","154.15","26.35M","-2.54%"
