"Date","Price","Open","High","Low","Vol.","Change %"
"08/17/2026","139.92","140.48","140.50","139.35","853.74K","-0.79%"
"08/14/2026","141.03","140.76","141.70","140.50","2.05M","-0.13%"
"08/13/2026","141.21","140.47","142.37","140.47","3.06M","0.34%"
"08/12/2026","140.73","140.08","140.89","138.40","3.17M","0.88%"
"08/11/2026","139.50","138.13","140.16","137.31","3.36M","0.53%"
"08/10/2026","138.76","138.11","139.18","137.22","4.13M","-1.00%"
"08/07/2026","140.16","139.32","140.42","138.25","4.58M","0.73%"
"08/06/2026","139.14","140.28","141.17","138.63","5.23M","-1.15%"
"08/05/2026","140.76","139.80","141.51","138.55","13.25M","1.23%"
"08/04/2026","139.05","139.85","141.47","138.91","16.28M","-3.54%"
"08/03/2026","144.15","144.77","144.88","142.96","2.74M","-0.32%"
"07/31/2026","144.61","146.00","146.00","143.59","3.24M","-1.08%"
"07/30/2026","146.19","146.22","146.75","144.18","5.28M","0.49%"
"07/29/2026","145.47","146.59","146.85","143.34","4.09M","-1.12%"
"07/28/2026","147.12","147.01","149.16","146.04","5.67M","-0.10%"
"07/27/2026","147.26","147.29","147.83","145.35","4.11M","-0.25%"
"07/24/2026","147.63","145.10","148.35","144.00","6.40M","1.73%"
"07/23/2026","145.12","143.47","145.79","142.32","7.44M","0.29%"
"07/22/2026","144.70","148.65","149.07","144.10","6.65M","-3.49%"
"07/21/2026","149.94","148.11","150.02","146.72","3.26M","1.67%"
"07/20/2026","147.48","149.00","149.61","146.47","3.11M","-1.54%"
"07/17/2026","149.79","150.05","153.35","148.00","4.82M","-0.18%"
"07/16/2026","150.06","145.00","150.06","144.19","6.24M","4.63%"
"07/15/2026","143.42","143.01","144.34","141.62","4.87M","0.65%"
"07/14/2026","142.49","142.00","143.41","141.58","3.59M","0.23%"
"07/13/2026","142.16","141.38","142.90","140.65","2.83M","0.92%"
"07/10/2026","140.87","142.61","142.75","138.78","2.40M","-0.35%"
"07/09/2026","141.36","141.02","142.70","140.73","3.68M","0.26%"
"07/08/2026","141.00","142.44","143.07","140.26","3.99M","-1.82%"
"07/07/2026","143.61","140.81","143.86","140.40","3.48M","2.43%"
"07/06/2026","140.20","139.21","140.28","138.10","3.15M","0.55%"
"07/02/2026","139.43","138.36","139.50","136.86","2.91M","1.92%"
"07/01/2026","136.80","135.68","138.80","135.10","3.14M","0.98%"
"06/30/2026","135.47","137.54","138.37","135.22","5.58M","-2.46%"
"06/29/2026","138.89","139.06","139.50","136.81","3.34M","-0.77%"
"06/26/2026","139.97","141.46","141.87","138.98","6.24M","-0.40%"
"06/25/2026","140.53","141.85","142.37","138.36","3.91M","-0.24%"
"06/24/2026","140.87","145.17","145.54","137.67","5.99M","-3.02%"
"06/23/2026","145.25","143.61","146.16","143.38","3.12M","0.99%"
"06/22/2026","143.83","140.66","144.81","140.31","4.23M","2.34%"
"06/18/2026","140.54","139.95","141.49","139.43","6.70M","-0.28%"
"06/17/2026","140.94","145.03","146.12","140.59","4.45M","-3.55%"
"06/16/2026","146.12","148.03","148.46","145.32","3.21M","-1.60%"
"06/15/2026","148.50","149.24","150.18","148.24","4.18M","-0.16%"
"06/12/2026","148.74","148.41","149.70","147.85","2.45M","1.05%"
"06/11/2026","147.19","147.01","148.46","145.71","3.49M","0.97%"
"06/10/2026","145.77","147.67","148.10","145.74","3.05M","-1.19%"
"06/09/2026","147.52","144.20","148.29","143.00","5.19M","3.32%"
"06/08/2026","142.78","144.50","145.16","142.03","3.97M","-1.22%"
"06/05/2026","144.54","142.57","145.72","142.55","5.44M","0.52%"
"06/04/2026","143.79","143.61","144.39","141.49","3.65M","1.39%"
"06/03/2026","141.82","139.29","142.66","138.99","4.05M","1.00%"
"06/02/2026","140.41","139.01","140.43","137.22","3.13M","1.00%"
"06/01/2026","139.02","141.59","142.15","138.92","2.98M","-3.10%"
"05/29/2026","143.47","145.29","145.54","142.22","7.95M","-1.49%"
"05/28/2026","145.64","145.42","147.10","144.52","2.89M","-0.60%"
"05/27/2026","146.52","147.03","147.47","146.03","3.12M","-0.29%"
"05/26/2026","146.94","146.99","147.93","146.51","2.48M","0.71%"
"05/22/2026","145.90","145.43","146.27","144.40","2.33M","0.88%"
"05/21/2026","144.63","144.32","145.29","142.79","2.79M","-0.03%"
"05/20/2026","144.68","141.77","144.70","141.26","2.83M","1.57%"
"05/19/2026","142.44","141.93","142.63","140.79","3.52M","0.09%"
"05/18/2026","142.31","141.12","142.83","141.00","2.98M","1.27%"
"05/15/2026","140.53","141.14","141.98","140.17","2.97M","-1.49%"
"05/14/2026","142.66","142.53","143.28","141.85","2.48M","0.46%"
"05/13/2026","142.00","143.20","143.97","141.86","3.06M","-1.22%"
"05/12/2026","143.76","144.33","144.94","142.79","2.56M","-0.22%"
"05/11/2026","144.07","144.31","145.34","143.68","2.69M","-0.01%"
"05/08/2026","144.09","142.98","144.51","142.36","3.27M","1.27%"
"05/07/2026","142.29","143.38","144.40","142.21","3.90M","-0.43%"
"05/06/2026","142.90","141.60","143.81","141.45","3.32M","1.87%"
"05/05/2026","140.27","139.00","140.46","138.00","2.09M","1.09%"
"05/04/2026","138.76","140.34","140.88","138.03","2.48M","-1.87%"
"05/01/2026","141.41","142.71","142.78","140.82","2.84M","-0.43%"
"04/30/2026","142.02","139.27","142.48","138.59","3.86M","2.31%"
"04/29/2026","138.82","139.72","141.21","138.15","3.53M","-1.91%"
"04/28/2026","141.53","141.42","142.15","139.80","4.05M","1.08%"
