"Date","Price","Open","High","Low","Vol.","Change %"
"08/17/2026","123.12","123.35","123.55","123.12","18.38K","-1.26%"
"08/14/2026","124.69","125.01","125.01","124.54","13.28K","0.16%"
"08/13/2026","124.49","123.97","125.08","123.72","29.36K","1.10%"
"08/12/2026","123.13","123.81","124.03","123.10","17.72K","1.41%"
"08/11/2026","121.41","122.14","122.14","121.25","17.34K","-0.17%"
"08/10/2026","121.62","121.79","122.30","121.54","29.51K","-1.63%"
"08/07/2026","123.64","122.94","123.90","122.41","41.67K","2.33%"
"08/06/2026","120.82","120.49","121.35","119.91","24.13K","0.45%"
"08/05/2026","120.28","121.47","122.57","120.27","26.86K","-2.03%"
"08/04/2026","122.78","120.62","123.38","120.23","92.07K","2.61%"
"08/03/2026","119.65","118.96","120.20","118.71","59.00K","0.25%"
"07/31/2026","119.35","119.94","120.32","118.46","40.18K","0.23%"
"07/30/2026","119.08","117.31","119.08","117.31","30.34K","2.80%"
"07/29/2026","115.83","117.60","118.28","115.09","78.92K","-2.46%"
"07/28/2026","118.76","119.06","119.13","117.58","47.34K","-0.76%"
"07/27/2026","119.67","120.74","120.76","118.44","22.12K","0.08%"
"07/24/2026","119.57","120.81","120.90","119.46","20.27K","0.23%"
"07/23/2026","119.29","118.50","119.82","118.50","30.68K","-0.33%"
"07/22/2026","119.68","120.48","120.74","119.68","49.64K","-0.84%"
"07/21/2026","120.69","120.59","121.17","119.92","241.08K","1.75%"
"07/20/2026","118.61","120.46","120.46","118.61","74.59K","-1.11%"
"07/17/2026","119.94","119.18","120.48","118.89","30.42K","-0.46%"
"07/16/2026","120.49","121.87","121.87","120.23","47.68K","-1.96%"
"07/15/2026","122.90","122.00","123.17","121.53","96.57K","2.27%"
"07/14/2026","120.17","119.97","120.46","119.40","55.97K","1.84%"
"07/13/2026","118.00","118.00","118.90","117.89","65.15K","-1.15%"
"07/10/2026","119.37","119.36","119.50","118.64","51.69K","-0.17%"
"07/09/2026","119.57","118.88","119.78","118.88","51.06K","0.05%"
"07/08/2026","119.51","119.31","119.90","118.45","128.51K","-0.04%"
"07/07/2026","119.56","120.54","120.66","119.31","84.18K","-2.77%"
"07/06/2026","122.96","122.13","123.22","122.11","41.33K","2.06%"
"07/02/2026","120.48","121.42","122.41","118.86","234.70K","-0.10%"
"07/01/2026","120.60","121.21","122.17","120.59","97.29K","-0.09%"
"06/30/2026","120.71","119.39","121.04","119.14","48.12K","0.92%"
"06/29/2026","119.61","120.00","120.66","117.68","48.14K","1.49%"
"06/26/2026","117.85","117.53","118.39","117.17","80.19K","-1.64%"
"06/25/2026","119.82","122.11","122.11","119.03","51.36K","-0.48%"
"06/24/2026","120.40","120.85","121.45","119.68","98.01K","0.75%"
"06/23/2026","119.50","120.00","120.65","118.73","295.44K","-1.31%"
"06/22/2026","121.09","121.74","121.74","120.25","99.19K","-1.53%"
"06/18/2026","122.97","123.71","123.71","122.46","38.81K","2.07%"
"06/17/2026","120.48","123.02","123.63","120.29","62.36K","-2.42%"
"06/16/2026","123.47","125.61","125.61","123.41","87.02K","-2.56%"
"06/15/2026","126.71","127.28","127.57","126.57","81.53K","-2.50%"
"06/12/2026","129.96","129.76","130.00","128.65","40.06K","1.32%"
"06/11/2026","128.27","124.84","128.34","124.61","78.64K","5.56%"
"06/10/2026","121.51","122.51","124.00","121.50","65.67K","-2.43%"
"06/09/2026","124.53","126.14","126.85","121.26","270.87K","-1.16%"
"06/08/2026","125.99","128.04","128.46","125.97","75.71K","1.53%"
"06/05/2026","124.09","128.08","128.13","124.01","118.20K","-4.13%"
"06/04/2026","129.43","128.76","129.95","128.16","88.62K","-0.47%"
"06/03/2026","130.04","131.85","131.85","129.30","95.50K","-1.92%"
"06/02/2026","132.58","131.96","132.93","131.33","142.43K","-1.02%"
"06/01/2026","133.94","134.12","134.44","131.80","161.34K","-2.72%"
"05/29/2026","137.69","138.57","138.85","136.71","148.15K","0.09%"
"05/28/2026","137.56","137.00","137.99","136.30","54.79K","-0.03%"
"05/27/2026","137.60","138.44","138.44","137.17","89.33K","0.29%"
"05/26/2026","137.20","136.90","137.39","136.05","91.12K","2.52%"
"05/22/2026","133.83","133.28","134.37","133.28","30.98K","0.84%"
"05/21/2026","132.71","131.20","133.01","131.12","53.77K","0.39%"
"05/20/2026","132.20","130.10","132.61","130.10","40.53K","2.20%"
"05/19/2026","129.35","128.72","130.33","128.54","53.05K","0.07%"
"05/18/2026","129.26","130.34","130.76","128.52","95.58K","-0.57%"
"05/15/2026","130.00","130.49","130.60","129.50","188.36K","-2.89%"
"05/14/2026","133.87","133.40","134.01","132.37","50.23K","-0.13%"
"05/13/2026","134.04","133.86","134.46","132.63","78.69K","-0.58%"
"05/12/2026","134.82","135.32","135.32","133.30","37.43K","-0.97%"
"05/11/2026","136.14","135.20","136.40","135.02","88.16K","-0.54%"
"05/08/2026","136.88","136.77","136.94","136.15","55.42K","1.44%"
"05/07/2026","134.94","136.81","136.98","134.50","141.35K","-1.18%"
"05/06/2026","136.55","136.95","136.95","135.55","193.36K","1.05%"
"05/05/2026","135.13","135.00","135.30","134.27","96.48K","1.72%"
"05/04/2026","132.85","132.46","133.96","132.03","88.42K","1.11%"
"05/01/2026","131.39","131.22","131.97","131.17","122.80K","0.48%"
"04/30/2026","130.76","130.27","130.76","129.06","48.75K","1.41%"
"04/29/2026","128.94","129.44","129.44","128.49","45.27K","1.05%"
"04/28/2026","127.60","127.00","127.86","126.74","30.29K","0.46%"
"04/27/2026","127.01","126.51","127.32","126.37","50.31K","0.23%"
"04/24/2026","126.72","126.83","127.00","126.00","39.90K","-0.60%"
"04/23/2026","127.48","128.51","128.86","126.26","79.77K","0.13%"
"04/22/2026","127.32","128.24","128.43","126.60","57.52K","0.74%"
"04/21/2026","126.38","128.22","128.60","126.16","57.97K","-1.81%"
"04/20/2026","128.71","128.75","129.33","128.39","71.19K","-0.85%"
"04/17/2026","129.81","129.34","130.18","129.01","153.32K","2.74%"
"04/16/2026","126.35","127.05","127.05","125.91","80.66K","-0.86%"
"04/15/2026","127.44","127.27","127.78","126.74","91.95K","0.08%"
"04/14/2026","127.34","126.99","127.89","126.81","172.41K","1.82%"
"04/13/2026","125.06","123.66","125.39","123.36","113.50K","-0.42%"
"04/10/2026","125.59","126.25","126.41","125.00","360.30K","1.36%"
"04/09/2026","123.91","122.39","124.27","122.29","107.89K","1.25%"
"04/08/2026","122.38","122.70","123.27","122.00","182.68K","3.39%"
"04/07/2026","118.37","118.23","118.66","117.27","50.43K","0.01%"
