"Date","Price","Open","High","Low","Vol.","Change %"
"08/17/2026","118.95","119.14","119.25","118.93","16.66K","-0.52%"
"08/14/2026","119.57","119.16","119.75","119.44","33.04K","-0.08%"
"08/13/2026","119.67","119.12","119.74","119.00","79.21K","0.81%"
"08/12/2026","118.70","118.96","118.96","118.26","66.01K","0.28%"
"08/11/2026","118.37","118.14","118.64","118.14","24.63K","0.31%"
"08/10/2026","118.00","117.88","118.18","117.83","55.15K","0.01%"
"08/07/2026","117.99","117.34","118.03","117.34","48.04K","1.05%"
"08/06/2026","116.76","117.25","117.25","116.56","31.96K","-0.45%"
"08/05/2026","117.29","118.11","118.11","117.12","35.73K","-0.33%"
"08/04/2026","117.68","116.17","117.76","115.95","82.79K","1.60%"
"08/03/2026","115.83","115.06","115.83","114.88","81.71K","1.19%"
"07/31/2026","114.47","114.94","114.94","113.90","258.60K","-0.18%"
"07/30/2026","114.68","114.95","114.96","113.39","92.75K","0.06%"
"07/29/2026","114.61","115.44","116.00","114.60","74.67K","-1.08%"
"07/28/2026","115.86","115.08","116.11","115.08","42.53K","0.92%"
"07/27/2026","114.80","114.70","114.83","114.29","31.52K","0.79%"
"07/24/2026","113.90","113.39","114.37","113.39","61.53K","0.78%"
"07/23/2026","113.02","113.00","113.60","112.86","278.80K","-0.41%"
"07/22/2026","113.48","113.74","114.19","113.35","77.17K","-0.13%"
"07/21/2026","113.63","113.52","113.84","113.16","37.71K","0.25%"
"07/20/2026","113.35","114.06","114.09","113.35","18.02K","-0.52%"
"07/17/2026","113.94","114.31","115.17","113.83","37.05K","-0.74%"
"07/16/2026","114.79","114.14","114.85","114.14","349.39K","0.68%"
"07/15/2026","114.01","114.73","114.78","113.78","41.45K","-0.38%"
"07/14/2026","114.45","114.86","115.29","114.35","274.28K","-0.15%"
"07/13/2026","114.62","114.95","115.39","114.42","29.22K","-0.16%"
"07/10/2026","114.81","114.96","115.08","114.57","36.70K","0.15%"
"07/09/2026","114.64","114.31","115.00","114.25","26.12K","0.77%"
"07/08/2026","113.76","114.37","114.37","113.26","16.20K","-1.07%"
"07/07/2026","114.99","115.77","115.97","114.93","47.52K","-0.39%"
"07/06/2026","115.44","115.38","115.61","115.07","48.13K","0.26%"
"07/02/2026","115.14","115.11","115.57","114.24","482.83K","0.54%"
"07/01/2026","114.52","114.19","115.32","114.03","29.51K","0.29%"
"06/30/2026","114.19","113.88","114.49","113.78","79.97K","0.06%"
"06/29/2026","114.12","113.80","114.16","113.34","33.33K","0.56%"
"06/26/2026","113.49","113.05","113.72","112.78","23.79K","0.37%"
"06/25/2026","113.07","113.26","114.21","112.94","18.02K","0.43%"
"06/24/2026","112.59","111.93","113.21","111.93","18.74K","0.54%"
"06/23/2026","111.98","111.50","112.28","111.50","23.87K","-0.47%"
"06/22/2026","112.51","112.42","112.96","112.20","20.94K","0.12%"
