"Date","Price","Open","High","Low","Vol.","Change %"
"08/17/2026","29.52","29.54","29.65","29.50","659.96K","-0.44%"
"08/14/2026","29.65","29.69","29.76","29.58","1.59M","-0.30%"
"08/13/2026","29.74","29.88","29.88","29.72","1.27M","-0.50%"
"08/12/2026","29.89","30.04","30.05","29.85","1.90M","-0.20%"
"08/11/2026","29.95","30.10","30.16","29.89","1.16M","-0.33%"
"08/10/2026","30.05","30.05","30.10","29.98","3.80M","-1.18%"
"08/07/2026","30.41","30.39","30.44","30.32","1.20M","0.83%"
"08/06/2026","30.16","30.20","30.32","30.13","1.28M","0.07%"
"08/05/2026","30.14","30.15","30.24","30.06","1.49M","0.07%"
"08/04/2026","30.12","29.93","30.14","29.89","3.40M","2.45%"
"08/03/2026","29.40","29.31","29.41","29.25","1.68M","0.20%"
"07/31/2026","29.34","29.36","29.40","29.02","2.10M","-1.61%"
"07/30/2026","29.82","29.50","29.82","29.46","2.10M","2.44%"
"07/29/2026","29.11","29.30","29.59","29.08","2.05M","-0.72%"
"07/28/2026","29.32","29.11","29.42","29.06","2.68M","1.52%"
"07/27/2026","28.88","28.89","28.96","28.74","1.03M","0.56%"
"07/24/2026","28.72","28.68","28.85","28.60","1.18M","0.81%"
"07/23/2026","28.49","28.42","28.56","28.40","1.31M","-1.28%"
"07/22/2026","28.86","28.86","28.95","28.83","897.30K","0.63%"
"07/21/2026","28.68","28.53","28.69","28.43","1.27M","0.56%"
"07/20/2026","28.52","28.70","28.74","28.48","2.26M","-0.80%"
"07/17/2026","28.75","28.52","28.78","28.49","1.65M","0.42%"
"07/16/2026","28.63","28.63","28.75","28.57","2.47M","-0.59%"
"07/15/2026","28.80","28.70","28.91","28.65","1.95M","0.31%"
"07/14/2026","28.71","28.63","28.86","28.63","1.29M","1.27%"
"07/13/2026","28.35","28.49","28.56","28.31","1.47M","-0.35%"
"07/10/2026","28.45","28.36","28.53","28.29","2.49M","0.89%"
"07/09/2026","28.20","28.17","28.27","28.14","1.76M","0.28%"
"07/08/2026","28.12","27.95","28.12","27.78","4.14M","-0.04%"
"07/07/2026","28.13","28.39","28.42","28.08","921.15K","-0.71%"
"07/06/2026","28.33","28.28","28.37","28.24","1.15M","0.85%"
"07/02/2026","28.09","28.14","28.33","27.90","3.36M","1.41%"
"07/01/2026","27.70","27.69","27.85","27.67","3.13M","-1.63%"
"06/30/2026","28.16","28.00","28.18","27.95","2.22M","0.18%"
"06/29/2026","28.11","28.12","28.13","27.90","1.67M","0.50%"
"06/26/2026","27.97","27.93","28.10","27.88","2.68M","0.14%"
"06/25/2026","27.93","28.05","28.10","27.82","4.72M","0.07%"
"06/24/2026","27.91","28.00","28.05","27.81","3.32M","-0.39%"
"06/23/2026","28.02","28.06","28.23","28.02","1.17M","-1.51%"
"06/22/2026","28.45","28.53","28.57","28.42","1.37M","-0.39%"
"06/18/2026","28.56","28.69","28.76","28.55","2.52M","-0.31%"
"06/17/2026","28.65","29.06","29.19","28.58","2.75M","-1.14%"
"06/16/2026","28.98","29.04","29.13","28.97","1.41M","1.33%"
"06/15/2026","28.60","28.98","29.04","28.55","3.43M","-2.12%"
"06/12/2026","29.22","29.14","29.34","28.98","2.36M","0.90%"
"06/11/2026","28.96","28.39","29.00","28.32","2.66M","2.77%"
"06/10/2026","28.18","28.42","28.64","28.18","3.51M","-0.25%"
"06/09/2026","28.25","28.48","28.60","27.86","4.28M","0.64%"
"06/08/2026","28.07","28.26","28.33","28.02","2.83M","0.04%"
"06/05/2026","28.06","28.55","28.55","27.94","9.70M","-3.37%"
"06/04/2026","29.04","29.08","29.15","28.99","1.61M","-0.34%"
"06/03/2026","29.14","29.29","29.29","29.14","1.35M","-1.12%"
"06/02/2026","29.47","29.33","29.50","29.30","1.66M","1.17%"
"06/01/2026","29.13","29.03","29.26","28.92","1.28M","-0.41%"
"05/29/2026","29.25","29.35","29.46","29.25","1.35M","0.97%"
"05/28/2026","28.97","28.80","29.05","28.72","1.46M","0.14%"
"05/27/2026","28.93","29.02","29.03","28.84","1.24M","-0.07%"
"05/26/2026","28.95","29.04","29.05","28.85","1.36M","0.59%"
"05/22/2026","28.78","28.93","28.93","28.70","1.61M","-0.72%"
"05/21/2026","28.99","28.75","29.09","28.64","1.58M","0.31%"
"05/20/2026","28.90","28.47","28.96","28.43","3.66M","1.30%"
"05/19/2026","28.53","28.56","28.69","28.42","2.10M","-0.97%"
"05/18/2026","28.81","28.87","28.91","28.56","3.53M","0.31%"
"05/15/2026","28.72","28.81","28.83","28.62","2.61M","-1.91%"
"05/14/2026","29.28","29.37","29.39","29.24","2.85M","0.55%"
"05/13/2026","29.12","29.01","29.20","28.96","1.49M","-0.68%"
"05/12/2026","29.32","29.21","29.35","29.06","2.32M","-0.91%"
"05/11/2026","29.59","29.64","29.71","29.53","2.72M","0.17%"
"05/08/2026","29.54","29.62","29.66","29.49","1.95M","0.20%"
"05/07/2026","29.48","30.09","30.09","29.48","1.86M","-2.12%"
"05/06/2026","30.12","30.01","30.14","29.96","2.21M","3.19%"
"05/05/2026","29.19","29.15","29.25","29.04","1.09M","1.07%"
"05/04/2026","28.88","29.10","29.16","28.77","2.06M","-1.33%"
"05/01/2026","29.27","29.32","29.49","29.25","1.48M","-0.75%"
"04/30/2026","29.49","29.25","29.52","29.17","1.58M","3.04%"
"04/29/2026","28.62","28.75","28.77","28.48","1.64M","-1.55%"
"04/28/2026","29.07","29.11","29.16","28.95","2.17M","-0.41%"
"04/27/2026","29.19","29.29","29.31","29.15","1.23M","0.07%"
"04/24/2026","29.17","29.21","29.28","29.12","1.77M","-0.34%"
"04/23/2026","29.27","29.41","29.51","29.00","2.19M","-0.54%"
"04/22/2026","29.43","29.43","29.47","29.31","2.16M","-0.17%"
"04/21/2026","29.48","29.91","29.94","29.45","2.11M","-1.90%"
"04/20/2026","30.05","30.09","30.10","29.88","1.87M","-0.53%"
"04/17/2026","30.21","30.37","30.48","30.17","3.74M","0.94%"
"04/16/2026","29.93","30.06","30.08","29.83","5.00M","-1.09%"
"04/15/2026","30.26","30.21","30.30","30.10","1.34M","0.27%"
"04/14/2026","30.18","30.15","30.23","30.06","1.81M","0.10%"
"04/13/2026","30.15","29.73","30.17","29.69","2.24M","1.04%"
"04/10/2026","29.84","29.97","30.04","29.77","1.63M","0.24%"
"04/09/2026","29.77","29.59","29.90","29.50","2.71M","0.85%"
"04/08/2026","29.52","29.61","29.63","29.30","2.92M","3.43%"
"04/07/2026","28.54","28.44","28.59","28.19","6.78M","1.13%"
"04/06/2026","28.22","28.13","28.27","28.05","4.04M","0.43%"
"04/02/2026","28.10","27.74","28.31","27.69","6.88M","0.04%"
"04/01/2026","28.09","28.17","28.27","27.99","2.50M","1.19%"
"03/31/2026","27.76","27.42","27.80","27.26","7.05M","2.28%"
"03/30/2026","27.14","27.37","27.42","27.05","3.59M","-0.26%"
"03/27/2026","27.21","27.16","27.42","27.08","3.15M","0.15%"
"03/26/2026","27.17","27.45","27.65","27.16","3.55M","-2.27%"
"03/25/2026","27.80","27.87","27.96","27.68","3.96M","0.87%"
"03/24/2026","27.56","27.32","27.74","27.30","5.49M","-1.89%"
"03/23/2026","28.09","28.05","28.44","27.83","9.81M","2.89%"
"03/20/2026","27.30","28.01","28.01","27.20","5.90M","-3.40%"
"03/19/2026","28.26","27.71","28.41","27.63","10.63M","0.93%"
"03/18/2026","28.00","28.33","28.42","27.98","7.86M","-2.44%"
"03/17/2026","28.70","28.88","28.92","28.68","4.39M","0.07%"
"03/16/2026","28.68","28.54","28.72","28.42","3.13M","2.50%"
"03/13/2026","27.98","28.44","28.54","27.95","4.38M","-1.55%"
"03/12/2026","28.42","28.84","28.84","28.34","6.01M","-2.00%"
"03/11/2026","29.00","28.93","29.15","28.81","4.24M","0.17%"
"03/10/2026","28.95","28.94","29.35","28.83","6.57M","0.31%"
"03/09/2026","28.86","28.19","28.94","27.97","10.11M","1.87%"
"03/06/2026","28.33","28.14","28.49","28.02","7.85M","-0.98%"
"03/05/2026","28.61","28.83","29.00","28.33","11.10M","-2.52%"
"03/04/2026","29.35","29.18","29.39","29.08","8.45M","0.89%"
"03/03/2026","29.09","28.84","29.25","28.42","10.24M","-2.81%"
"03/02/2026","29.93","29.65","30.06","29.61","7.87M","-0.53%"
"02/27/2026","30.09","30.11","30.24","30.00","6.24M","-0.17%"
"02/26/2026","30.14","30.13","30.17","29.82","5.97M","-0.07%"
"02/25/2026","30.16","30.03","30.21","29.95","4.29M","1.96%"
"02/24/2026","29.58","29.34","29.64","29.32","4.38M","0.44%"
"02/23/2026","29.45","29.52","29.63","29.31","4.10M","-0.84%"
