"Date","Price","Open","High","Low","Vol.","Change %"
"08/17/2026","62.32","62.21","62.49","62.16","4.86M","0.14%"
"08/14/2026","62.23","62.28","62.47","62.06","522.81K","0.21%"
"08/13/2026","62.10","61.90","62.10","61.65","1.21M","0.53%"
"08/12/2026","61.77","61.83","61.83","61.60","754.12K","0.42%"
"08/11/2026","61.51","61.61","61.85","61.48","2.29M","0.02%"
"08/10/2026","61.50","61.20","61.61","61.10","1.01M","0.33%"
"08/07/2026","61.30","61.16","61.32","61.03","744.57K","0.99%"
"08/06/2026","60.70","60.70","60.94","60.42","1.53M","-0.13%"
"08/05/2026","60.78","60.96","61.20","60.74","1.78M","1.30%"
"08/04/2026","60.00","59.88","60.07","59.55","3.58M","0.59%"
"08/03/2026","59.65","59.49","59.71","59.28","3.05M","0.44%"
"07/31/2026","59.39","59.63","59.75","59.12","1.34M","-0.67%"
"07/30/2026","59.79","59.67","59.82","59.26","1.21M","0.84%"
"07/29/2026","59.29","59.86","60.07","59.12","1.61M","-0.92%"
"07/28/2026","59.84","59.43","59.94","59.19","715.16K","0.76%"
"07/27/2026","59.39","59.33","59.47","59.01","844.40K","0.54%"
"07/24/2026","59.07","58.90","59.28","58.81","1.27M","0.43%"
"07/23/2026","58.82","58.88","59.01","58.60","1.12M","-0.78%"
"07/22/2026","59.28","59.25","59.69","59.17","4.28M","0.39%"
"07/21/2026","59.05","58.62","59.05","58.52","1.00M","0.73%"
"07/20/2026","58.62","59.36","59.55","58.61","2.01M","-1.40%"
"07/17/2026","59.45","59.22","59.57","58.97","2.15M","0.10%"
"07/16/2026","59.39","59.37","59.60","59.17","1.54M","-0.17%"
"07/15/2026","59.49","59.26","59.61","59.13","693.48K","0.52%"
"07/14/2026","59.18","59.00","59.48","59.00","1.08M","0.77%"
"07/13/2026","58.73","58.74","58.99","58.53","960.53K","0.14%"
"07/10/2026","58.65","58.47","58.81","58.28","631.59K","0.46%"
"07/09/2026","58.38","58.07","58.49","58.04","746.79K","0.71%"
"07/08/2026","57.97","58.11","58.18","57.38","1.06M","-0.67%"
"07/07/2026","58.36","58.24","58.54","58.03","1.02M","0.52%"
"07/06/2026","58.06","58.05","58.22","57.69","1.71M","0.50%"
"07/02/2026","57.77","57.86","58.09","57.37","2.04M","0.17%"
"07/01/2026","57.67","57.44","58.19","57.42","2.52M","0.05%"
"06/30/2026","57.64","57.49","57.71","57.29","2.36M","0.26%"
"06/29/2026","57.49","57.81","57.89","57.39","1.36M","-0.54%"
"06/26/2026","57.80","57.59","58.05","57.52","863.25K","0.31%"
"06/25/2026","57.62","57.68","58.02","57.48","2.09M","0.58%"
"06/24/2026","57.29","57.23","57.47","57.01","1.54M","-0.66%"
"06/23/2026","57.67","57.27","57.87","57.03","1.47M","-0.38%"
"06/22/2026","57.89","57.50","58.01","57.50","869.08K","0.03%"
