"Date","Price","Open","High","Low","Vol.","Change %"
"08/17/2026","43.96","44.16","44.20","43.96","206.82K","-0.45%"
"08/14/2026","44.16","44.23","44.27","44.13","421.65K","0.45%"
"08/13/2026","43.96","43.94","43.98","43.74","410.27K","0.21%"
"08/12/2026","43.87","44.10","44.16","43.79","418.70K","-0.27%"
"08/11/2026","43.99","44.02","44.17","43.91","336.20K","0.27%"
"08/10/2026","43.87","43.89","43.99","43.83","632.80K","-0.34%"
"08/07/2026","44.02","44.04","44.12","43.90","518.59K","1.15%"
"08/06/2026","43.52","43.46","43.64","43.46","564.02K","-0.27%"
"08/05/2026","43.64","43.80","43.83","43.53","498.52K","-0.46%"
"08/04/2026","43.84","43.57","43.87","43.56","1.49M","1.06%"
"08/03/2026","43.38","43.29","43.45","43.26","1.03M","1.24%"
"07/31/2026","42.85","42.65","42.94","42.39","676.95K","-0.07%"
"07/30/2026","42.88","42.47","42.90","42.42","887.27K","2.24%"
"07/29/2026","41.94","41.96","42.36","41.72","4.47M","0.05%"
"07/28/2026","41.92","41.54","41.99","41.51","616.14K","0.34%"
"07/27/2026","41.78","41.83","41.94","41.63","1.24M","1.61%"
"07/24/2026","41.12","40.94","41.26","40.90","527.11K","1.31%"
"07/23/2026","40.59","40.61","40.79","40.47","730.37K","-1.74%"
"07/22/2026","41.31","41.49","41.56","41.31","824.73K","-0.05%"
"07/21/2026","41.33","41.10","41.34","41.00","1.68M","1.13%"
"07/20/2026","40.87","41.06","41.15","40.87","1.25M","-0.70%"
"07/17/2026","41.16","40.98","41.24","40.88","659.15K","-0.19%"
"07/16/2026","41.24","41.15","41.31","41.04","635.01K","-0.63%"
"07/15/2026","41.50","41.35","41.60","41.26","491.47K","0.27%"
"07/14/2026","41.39","41.49","41.78","41.38","531.50K","0.39%"
"07/13/2026","41.23","41.55","41.57","41.17","519.40K","-0.63%"
"07/10/2026","41.49","41.58","41.58","41.25","316.79K","-0.12%"
"07/09/2026","41.54","41.38","41.61","41.35","3.00M","0.56%"
