"Date","Price","Open","High","Low","Vol.","Change %"
"08/17/2026","22.50","22.53","22.58","22.49","1.17M","0.47%"
"08/14/2026","22.39","22.40","22.43","22.34","1.41M","-0.49%"
"08/13/2026","22.50","22.54","22.59","22.47","1.57M","0.22%"
"08/12/2026","22.45","22.50","22.50","22.41","1.98M","-0.13%"
"08/11/2026","22.48","22.58","22.58","22.43","2.27M","-1.40%"
"08/10/2026","22.80","22.79","22.85","22.71","4.53M","0.40%"
"08/07/2026","22.71","22.70","22.77","22.67","2.49M","0.98%"
"08/06/2026","22.49","22.54","22.56","22.40","3.06M","-0.62%"
"08/05/2026","22.63","22.85","22.85","22.63","4.73M","-1.27%"
"08/04/2026","22.92","22.83","22.95","22.75","2.85M","0.00%"
"08/03/2026","22.92","22.90","22.94","22.87","2.49M","-0.69%"
"07/31/2026","23.08","23.05","23.09","22.93","3.86M","-0.94%"
"07/30/2026","23.30","23.23","23.34","23.16","3.00M","1.75%"
"07/29/2026","22.90","22.85","23.17","22.85","3.86M","-0.22%"
"07/28/2026","22.95","22.82","22.99","22.76","2.47M","0.75%"
"07/27/2026","22.78","22.69","22.82","22.68","2.71M","1.02%"
"07/24/2026","22.55","22.57","22.69","22.51","3.52M","0.49%"
"07/23/2026","22.44","22.57","22.61","22.40","2.81M","-0.44%"
"07/22/2026","22.54","22.37","22.56","22.37","2.03M","1.08%"
"07/21/2026","22.30","22.28","22.31","22.20","2.15M","0.72%"
"07/20/2026","22.14","22.17","22.20","22.08","4.23M","0.45%"
"07/17/2026","22.04","21.91","22.08","21.91","3.52M","-0.05%"
"07/16/2026","22.05","21.99","22.12","21.99","2.07M","-0.14%"
"07/15/2026","22.08","21.96","22.17","21.96","2.83M","1.89%"
"07/14/2026","21.67","21.79","21.81","21.63","5.52M","1.74%"
"07/13/2026","21.30","21.50","21.55","21.29","2.79M","-0.93%"
"07/10/2026","21.50","21.50","21.54","21.42","2.30M","1.37%"
"07/09/2026","21.21","21.12","21.25","21.09","2.56M","0.47%"
"07/08/2026","21.11","21.18","21.19","21.03","2.83M","0.19%"
"07/07/2026","21.07","21.18","21.22","21.02","2.73M","-0.75%"
"07/06/2026","21.23","21.15","21.28","21.12","2.23M","1.43%"
"07/02/2026","20.93","21.03","21.16","20.81","3.06M","-0.62%"
"07/01/2026","21.06","20.85","21.18","20.81","3.68M","0.67%"
"06/30/2026","20.92","20.82","21.01","20.78","2.01M","-0.71%"
"06/29/2026","21.07","21.06","21.11","20.99","2.22M","-0.09%"
"06/26/2026","21.09","20.86","21.19","20.86","3.89M","-0.14%"
"06/25/2026","21.12","21.24","21.28","21.09","3.08M","-0.14%"
"06/24/2026","21.15","21.20","21.30","21.13","2.11M","0.14%"
"06/23/2026","21.12","21.03","21.27","21.03","2.46M","-0.98%"
"06/22/2026","21.33","21.28","21.43","21.24","3.70M","0.23%"
"06/18/2026","21.28","21.36","21.38","21.22","3.83M","-0.28%"
"06/17/2026","21.34","21.57","21.67","21.31","3.91M","-1.79%"
"06/16/2026","21.73","21.75","21.81","21.69","2.12M","-0.64%"
"06/15/2026","21.87","21.99","22.03","21.84","3.07M","-0.59%"
"06/12/2026","22.00","22.00","22.13","21.92","2.75M","0.55%"
"06/11/2026","21.88","21.56","21.91","21.49","6.31M","2.34%"
"06/10/2026","21.38","21.38","21.58","21.37","3.48M","-0.97%"
"06/09/2026","21.59","21.71","21.74","21.32","5.11M","-1.19%"
"06/08/2026","21.85","21.95","22.02","21.85","3.13M","0.14%"
"06/05/2026","21.82","22.16","22.16","21.72","3.18M","-3.11%"
"06/04/2026","22.52","22.61","22.67","22.51","2.52M","-1.27%"
"06/03/2026","22.81","22.94","22.94","22.80","2.30M","-1.55%"
"06/02/2026","23.17","23.07","23.24","23.07","2.75M","0.70%"
"06/01/2026","23.01","22.92","23.03","22.85","2.92M","-0.43%"
"05/29/2026","23.11","23.03","23.20","22.97","2.54M","0.17%"
"05/28/2026","23.07","22.96","23.12","22.89","2.81M","-0.13%"
"05/27/2026","23.10","23.16","23.18","23.08","2.53M","-1.03%"
"05/26/2026","23.34","23.24","23.35","23.20","2.03M","-0.64%"
"05/22/2026","23.49","23.42","23.58","23.36","1.72M","-1.43%"
"05/21/2026","23.83","23.59","23.89","23.58","2.26M","-0.21%"
"05/20/2026","23.88","23.69","23.89","23.57","2.42M","0.97%"
"05/19/2026","23.65","23.67","23.74","23.55","2.03M","-1.34%"
"05/18/2026","23.97","23.94","24.00","23.83","2.67M","-0.37%"
"05/15/2026","24.06","24.17","24.17","23.95","2.53M","-1.47%"
"05/14/2026","24.42","24.37","24.42","24.20","1.99M","-0.53%"
"05/13/2026","24.55","24.05","24.62","23.99","8.08M","1.53%"
"05/12/2026","24.18","24.16","24.21","23.99","2.36M","-0.58%"
"05/11/2026","24.32","24.26","24.35","24.24","2.12M","0.16%"
"05/08/2026","24.28","24.29","24.32","24.16","2.19M","-0.25%"
"05/07/2026","24.34","24.58","24.66","24.27","1.97M","-0.20%"
"05/06/2026","24.39","24.22","24.40","24.12","3.45M","2.87%"
"05/05/2026","23.71","23.73","23.75","23.61","2.04M","1.15%"
"05/04/2026","23.44","23.63","23.63","23.38","2.82M","-1.43%"
"05/01/2026","23.78","23.74","23.92","23.74","1.23M","0.25%"
"04/30/2026","23.72","23.50","23.77","23.48","2.37M","1.67%"
"04/29/2026","23.33","23.44","23.45","23.27","3.94M","0.26%"
"04/28/2026","23.27","23.25","23.31","23.23","3.03M","-0.26%"
"04/27/2026","23.33","23.33","23.39","23.27","1.81M","-0.13%"
"04/24/2026","23.36","23.28","23.40","23.20","2.41M","0.43%"
