"Date","Price","Open","High","Low","Vol.","Change %"
"08/17/2026","63.10","63.50","63.54","63.08","152.01K","-0.27%"
"08/14/2026","63.27","63.29","63.42","63.19","419.53K","-0.03%"
"08/13/2026","63.29","63.32","63.53","63.14","1.26M","0.17%"
"08/12/2026","63.18","63.39","63.47","63.04","517.92K","0.14%"
"08/11/2026","63.09","63.26","63.40","63.03","350.89K","-0.13%"
"08/10/2026","63.17","63.19","63.31","63.07","1.73M","-0.28%"
"08/07/2026","63.35","63.53","63.53","63.19","287.91K","0.30%"
"08/06/2026","63.16","63.62","63.76","63.12","278.58K","-0.05%"
"08/05/2026","63.19","63.45","63.51","63.06","345.66K","-0.03%"
"08/04/2026","63.21","63.08","63.28","62.97","660.44K","1.31%"
"08/03/2026","62.39","62.11","62.42","62.00","832.87K","1.28%"
"07/31/2026","61.60","61.32","61.71","60.88","346.63K","-0.10%"
"07/30/2026","61.66","60.85","61.70","60.85","256.00K","2.61%"
"07/29/2026","60.09","60.40","60.80","59.87","399.03K","-0.63%"
"07/28/2026","60.47","60.26","60.56","60.15","932.67K","-0.49%"
"07/27/2026","60.77","60.66","60.82","60.53","173.47K","1.05%"
"07/24/2026","60.14","60.08","60.40","60.00","258.21K","0.70%"
"07/23/2026","59.72","59.61","59.95","59.51","593.59K","-2.19%"
"07/22/2026","61.06","61.11","61.27","60.99","671.91K","0.89%"
"07/21/2026","60.52","60.32","60.54","60.13","113.32K","0.97%"
"07/20/2026","59.94","60.18","60.23","59.82","81.04K","-0.53%"
"07/17/2026","60.26","59.97","60.35","59.81","786.73K","-0.50%"
"07/16/2026","60.56","60.37","60.67","60.23","443.11K","-0.41%"
"07/15/2026","60.81","60.52","60.86","60.33","111.97K","0.30%"
"07/14/2026","60.63","60.79","61.20","60.57","405.32K","0.26%"
"07/13/2026","60.47","60.80","60.92","60.34","227.73K","-0.20%"
"07/10/2026","60.59","60.67","60.73","60.38","100.69K","0.51%"
"07/09/2026","60.28","60.15","60.40","60.15","1.06M","0.25%"
"07/08/2026","60.13","59.84","60.15","59.51","401.64K","-0.76%"
"07/07/2026","60.59","61.12","61.17","60.42","229.06K","-0.90%"
"07/06/2026","61.14","60.76","61.16","60.71","122.16K","0.84%"
"07/02/2026","60.63","60.55","60.78","60.21","1.46M","2.54%"
"07/01/2026","59.13","58.83","59.25","58.80","301.11K","-0.19%"
"06/30/2026","59.24","58.88","59.32","58.83","122.61K","0.56%"
