"Date","Price","Open","High","Low","Vol.","Change %"
"08/17/2026","98.11","98.19","98.58","98.10","1.48M","-0.10%"
"08/14/2026","98.21","98.39","98.68","98.08","1.89M","-0.26%"
"08/13/2026","98.47","98.09","98.79","98.00","2.77M","0.70%"
"08/12/2026","97.79","98.04","98.21","97.64","2.24M","1.57%"
"08/11/2026","96.28","96.60","96.72","96.15","1.68M","0.24%"
"08/10/2026","96.05","96.73","96.73","95.99","2.60M","-0.88%"
"08/07/2026","96.90","96.67","96.96","96.31","4.48M","1.84%"
"08/06/2026","95.15","95.07","95.93","94.83","2.69M","-0.01%"
"08/05/2026","95.16","95.99","96.32","95.14","2.78M","0.58%"
"08/04/2026","94.61","93.34","94.77","93.29","3.30M","1.83%"
"08/03/2026","92.91","92.29","93.04","92.12","4.02M","0.56%"
"07/31/2026","92.39","92.60","93.00","91.34","5.29M","-0.96%"
"07/30/2026","93.29","90.60","93.46","90.50","6.54M","4.41%"
"07/29/2026","89.35","89.94","91.15","89.08","5.65M","-0.53%"
"07/28/2026","89.83","89.36","90.33","89.29","5.32M","-1.84%"
"07/27/2026","91.51","92.24","92.40","90.87","2.49M","0.33%"
"07/24/2026","91.21","91.46","91.92","91.06","3.09M","0.12%"
"07/23/2026","91.10","91.47","91.86","90.64","4.43M","-1.18%"
"07/22/2026","92.19","91.88","92.55","91.88","3.43M","-0.59%"
"07/21/2026","92.74","92.08","92.97","91.71","6.38M","2.55%"
"07/20/2026","90.43","90.88","91.21","90.38","3.36M","-0.07%"
"07/17/2026","90.49","89.24","90.65","89.16","8.29M","-1.54%"
"07/16/2026","91.91","92.04","92.47","91.62","3.33M","-1.70%"
"07/15/2026","93.50","93.90","94.04","92.78","4.84M","-0.42%"
"07/14/2026","93.89","94.17","94.78","93.75","4.48M","1.26%"
"07/13/2026","92.72","93.07","93.37","92.50","3.74M","-1.94%"
"07/10/2026","94.55","94.11","94.75","93.57","3.21M","1.10%"
"07/09/2026","93.52","92.91","93.69","92.89","5.67M","1.06%"
"07/08/2026","92.54","91.51","92.58","91.19","5.29M","-0.57%"
"07/07/2026","93.07","93.93","94.11","92.79","6.03M","-2.31%"
"07/06/2026","95.27","94.68","95.36","94.56","4.37M","2.29%"
"07/02/2026","93.14","93.95","94.52","92.38","7.94M","0.10%"
"07/01/2026","93.05","93.40","93.74","93.01","8.46M","-0.24%"
"06/30/2026","93.27","92.72","93.48","92.63","3.67M","0.06%"
"06/29/2026","93.21","92.62","93.24","91.71","6.36M","0.44%"
"06/26/2026","92.80","92.47","93.28","92.32","4.06M","-0.63%"
