"Date","Price","Open","High","Low","Vol.","Change %"
"08/17/2026","63.01","63.19","63.48","62.99","174.47K","-0.41%"
"08/14/2026","63.27","63.26","63.47","63.24","167.46K","-0.68%"
"08/13/2026","63.70","63.88","63.94","63.62","1.79M","0.08%"
"08/12/2026","63.65","63.65","63.76","63.52","224.13K","-0.59%"
"08/11/2026","64.03","64.40","64.62","63.95","180.82K","-0.51%"
"08/10/2026","64.36","64.34","64.48","64.21","2.48M","-0.22%"
"08/07/2026","64.50","64.44","64.67","64.35","261.93K","1.22%"
"08/06/2026","63.72","64.22","64.31","63.62","342.38K","-0.72%"
"08/05/2026","64.18","64.00","64.26","63.92","272.26K","0.67%"
"08/04/2026","63.75","63.74","63.80","63.51","835.28K","0.92%"
"08/03/2026","63.17","63.34","63.34","62.96","429.71K","0.02%"
"07/31/2026","63.16","63.30","63.31","62.73","314.30K","-1.19%"
"07/30/2026","63.92","63.29","63.97","63.24","594.15K","1.80%"
"07/29/2026","62.79","62.86","63.36","62.58","352.09K","-0.70%"
"07/28/2026","63.23","62.68","63.38","62.61","294.67K","1.27%"
"07/27/2026","62.44","62.57","62.66","62.27","233.19K","0.56%"
"07/24/2026","62.09","62.22","62.38","61.99","208.18K","0.36%"
"07/23/2026","61.87","61.32","61.90","61.22","336.91K","-0.80%"
"07/22/2026","62.37","63.07","63.07","62.26","715.75K","-0.46%"
"07/21/2026","62.66","62.57","62.83","62.30","414.62K","0.53%"
"07/20/2026","62.33","62.94","62.94","62.29","1.02M","-1.35%"
"07/17/2026","63.18","63.15","63.40","63.01","319.93K","0.30%"
"07/16/2026","62.99","62.48","63.05","62.48","242.84K","-0.57%"
"07/15/2026","63.35","62.74","63.43","62.74","281.68K","1.49%"
"07/14/2026","62.42","62.81","62.96","62.41","758.92K","0.00%"
"07/13/2026","62.42","62.76","62.92","62.30","285.02K","-0.81%"
"07/10/2026","62.93","62.98","63.13","62.68","152.80K","-0.06%"
"07/09/2026","62.97","62.75","63.10","62.73","2.20M","0.21%"
"07/08/2026","62.84","62.75","62.90","62.42","399.53K","-0.90%"
"07/07/2026","63.41","63.94","63.99","63.25","232.41K","-0.46%"
"07/06/2026","63.70","63.56","63.72","63.13","274.48K","-0.44%"
"07/02/2026","63.98","63.65","64.24","63.58","548.23K","2.37%"
"07/01/2026","62.50","62.29","62.67","62.20","246.48K","-0.56%"
"06/30/2026","62.85","62.98","63.03","62.55","271.28K","-0.63%"
"06/29/2026","63.25","62.78","63.26","62.68","253.91K","1.36%"
"06/26/2026","62.40","62.35","62.75","62.24","327.30K","-0.64%"
"06/25/2026","62.80","62.56","63.07","62.56","344.53K","0.98%"
"06/24/2026","62.19","62.05","62.33","61.94","316.11K","1.15%"
"06/23/2026","61.48","61.31","61.63","61.31","258.96K","0.38%"
"06/22/2026","61.25","61.01","61.35","60.97","229.45K","-0.13%"
"06/18/2026","61.33","61.41","61.49","61.23","237.42K","-0.26%"
"06/17/2026","61.49","62.16","62.43","61.33","309.47K","-0.71%"
"06/16/2026","61.93","61.87","62.17","61.68","246.04K","0.41%"
"06/15/2026","61.68","62.30","62.30","61.65","572.89K","-1.66%"
"06/12/2026","62.72","62.59","62.83","62.35","364.45K","-0.30%"
"06/11/2026","62.91","61.88","63.03","61.58","533.31K","3.00%"
"06/10/2026","61.08","61.35","61.69","61.06","431.09K","-0.57%"
"06/09/2026","61.43","61.58","61.79","60.72","668.24K","0.82%"
