"Date","Price","Open","High","Low","Vol.","Change %"
"08/17/2026","62.40","62.79","62.85","62.38","104.50K","-0.72%"
"08/14/2026","62.85","62.87","63.05","62.67","126.32K","0.29%"
"08/13/2026","62.67","63.05","63.05","62.59","103.77K","-0.21%"
"08/12/2026","62.80","63.05","63.08","62.60","381.47K","0.27%"
"08/11/2026","62.63","62.85","63.08","62.59","88.22K","0.35%"
"08/10/2026","62.41","62.61","62.74","62.40","822.32K","-0.40%"
"08/07/2026","62.66","62.81","62.86","62.49","149.15K","0.58%"
"08/06/2026","62.30","62.92","63.02","62.28","136.42K","0.19%"
"08/05/2026","62.18","62.56","62.56","61.94","207.13K","0.29%"
"08/04/2026","62.00","62.00","62.26","61.80","740.20K","0.06%"
"08/03/2026","61.96","61.62","61.98","61.15","914.10K","0.78%"
"07/31/2026","61.48","61.36","61.63","60.81","291.73K","0.07%"
"07/30/2026","61.44","60.82","61.58","60.49","218.62K","3.43%"
"07/29/2026","59.40","59.81","60.12","59.17","105.92K","-1.77%"
"07/28/2026","60.47","60.28","60.64","60.17","200.03K","-0.36%"
"07/27/2026","60.69","60.72","60.87","60.36","373.02K","1.64%"
"07/24/2026","59.71","59.49","60.07","59.45","569.68K","1.17%"
"07/23/2026","59.02","59.01","59.21","58.74","209.15K","-1.85%"
"07/22/2026","60.13","60.22","60.40","60.05","162.74K","1.13%"
"07/21/2026","59.46","59.13","59.55","59.04","410.39K","1.35%"
"07/20/2026","58.67","59.01","59.08","58.59","94.93K","-0.83%"
"07/17/2026","59.16","58.97","59.25","58.85","658.18K","-0.20%"
"07/16/2026","59.28","59.10","59.46","59.00","143.43K","-0.54%"
"07/15/2026","59.60","59.25","59.60","59.06","123.92K","0.59%"
"07/14/2026","59.25","59.28","59.76","59.23","697.59K","0.53%"
"07/13/2026","58.94","59.47","59.58","58.85","263.13K","-0.86%"
"07/10/2026","59.45","59.22","59.69","59.03","108.75K","0.47%"
"07/09/2026","59.17","58.97","59.41","58.97","664.62K","0.63%"
"07/08/2026","58.80","58.70","59.00","58.12","342.18K","-1.71%"
"07/07/2026","59.82","60.33","60.49","59.66","162.46K","-0.76%"
"07/06/2026","60.28","59.98","60.33","59.92","236.64K","1.04%"
"07/02/2026","59.66","60.04","60.44","59.44","2.32M","1.17%"
"07/01/2026","58.97","58.62","59.04","58.62","477.42K","-0.71%"
"06/30/2026","59.39","59.12","59.40","58.88","185.51K","0.27%"
"06/29/2026","59.23","59.03","59.26","58.81","349.30K","0.94%"
"06/26/2026","58.68","58.83","59.02","58.57","79.42K","-0.20%"
"06/25/2026","58.80","58.62","59.06","58.60","107.46K","0.75%"
"06/24/2026","58.36","58.36","58.56","58.13","126.20K","-1.14%"
"06/23/2026","59.03","58.89","59.23","58.85","144.71K","-0.72%"
"06/22/2026","59.46","59.25","59.65","59.25","119.42K","0.76%"
"06/18/2026","59.01","59.12","59.23","58.91","252.42K","0.27%"
"06/17/2026","58.85","59.52","59.88","58.69","412.51K","-0.02%"
"06/16/2026","58.86","58.71","59.10","58.58","234.30K","0.96%"
"06/15/2026","58.30","58.81","58.81","58.25","173.02K","-0.68%"
"06/12/2026","58.70","58.31","58.79","58.02","191.68K","0.63%"
"06/11/2026","58.33","56.70","58.37","56.69","211.73K","3.70%"
"06/10/2026","56.25","56.74","56.99","56.22","140.10K","-1.02%"
"06/09/2026","56.83","57.43","57.67","56.16","168.52K","0.30%"
