"Date","Price","Open","High","Low","Vol.","Change %"
"08/17/2026","47.14","47.37","47.37","47.13","84.23K","-0.70%"
"08/14/2026","47.47","47.31","47.58","47.39","176.26K","0.21%"
"08/13/2026","47.37","47.39","47.50","47.29","194.78K","-0.29%"
"08/12/2026","47.51","47.50","47.66","47.43","194.73K","-0.38%"
"08/11/2026","47.69","47.80","47.92","47.64","375.83K","-0.13%"
"08/10/2026","47.75","47.65","47.86","47.63","128.20K","-0.31%"
"08/07/2026","47.90","47.91","47.97","47.78","115.38K","0.63%"
"08/06/2026","47.60","47.77","47.90","47.54","123.05K","0.13%"
"08/05/2026","47.54","47.53","47.65","47.44","219.45K","0.02%"
"08/04/2026","47.53","47.22","47.76","47.10","1.11M","1.11%"
"08/03/2026","47.01","46.95","47.11","46.88","366.77K","0.99%"
"07/31/2026","46.55","46.36","46.63","46.15","266.18K","0.17%"
"07/30/2026","46.47","46.14","46.50","46.12","267.86K","2.11%"
"07/29/2026","45.51","45.30","45.96","45.17","308.26K","-0.37%"
"07/28/2026","45.68","45.25","45.80","45.22","365.05K","0.84%"
"07/27/2026","45.30","45.34","45.53","45.17","318.91K","0.78%"
"07/24/2026","44.95","44.83","45.14","44.81","206.97K","0.58%"
"07/23/2026","44.69","44.73","44.78","44.49","174.67K","-1.82%"
"07/22/2026","45.52","45.65","45.69","45.49","229.50K","0.73%"
"07/21/2026","45.19","44.90","45.22","44.74","332.04K","1.01%"
"07/20/2026","44.74","45.13","45.13","44.69","166.58K","-0.89%"
"07/17/2026","45.14","44.94","45.22","44.91","245.13K","-0.09%"
"07/16/2026","45.18","45.12","45.33","45.01","275.05K","-0.64%"
"07/15/2026","45.47","45.27","45.55","45.15","215.23K","0.95%"
"07/14/2026","45.04","45.26","45.38","45.03","207.10K","0.47%"
"07/13/2026","44.83","45.12","45.21","44.78","206.18K","-0.47%"
"07/10/2026","45.04","45.00","45.17","44.77","231.67K","0.00%"
"07/09/2026","45.04","44.99","45.17","44.87","1.03M","0.24%"
"07/08/2026","44.93","44.81","44.96","44.44","261.11K","-1.25%"
"07/07/2026","45.50","46.01","46.02","45.39","167.80K","-1.24%"
"07/06/2026","46.07","45.89","46.08","45.75","109.68K","0.33%"
"07/02/2026","45.92","45.71","46.10","45.69","288.95K","2.14%"
"07/01/2026","44.96","44.94","45.06","44.83","379.58K","-1.03%"
"06/30/2026","45.43","45.13","45.48","45.04","530.07K","0.58%"
"06/29/2026","45.17","45.09","45.21","44.98","612.49K","0.78%"
"06/26/2026","44.82","45.10","45.19","44.80","308.80K","-0.71%"
"06/25/2026","45.14","45.08","45.38","45.08","422.10K","0.67%"
"06/24/2026","44.84","44.67","45.01","44.67","472.30K","0.20%"
"06/23/2026","44.75","44.80","44.97","44.74","235.34K","-1.02%"
"06/22/2026","45.21","45.25","45.39","45.13","149.44K","-1.31%"
"06/18/2026","45.81","45.67","45.93","45.64","207.77K","1.01%"
"06/17/2026","45.35","46.17","46.25","45.25","420.97K","-1.71%"
"06/16/2026","46.14","46.22","46.33","46.08","281.33K","0.85%"
"06/15/2026","45.75","46.22","46.29","45.72","331.10K","-1.87%"
"06/12/2026","46.62","46.56","46.71","46.32","183.61K","0.17%"
"06/11/2026","46.54","45.75","46.60","45.44","342.16K","2.83%"
"06/10/2026","45.26","45.64","45.84","45.24","489.34K","-1.35%"
"06/09/2026","45.88","46.16","46.29","45.32","569.81K","0.72%"
"06/08/2026","45.55","45.70","45.85","45.47","371.95K","0.42%"
"06/05/2026","45.36","46.16","46.16","45.23","280.10K","-2.01%"
"06/04/2026","46.29","46.31","46.35","46.08","155.88K","1.67%"
"06/03/2026","45.53","45.73","45.78","45.53","384.11K","-1.19%"
"06/02/2026","46.08","45.87","46.16","45.87","218.23K","0.57%"
"06/01/2026","45.82","45.61","45.99","45.42","275.00K","-0.33%"
"05/29/2026","45.97","46.22","46.40","45.96","402.35K","-0.07%"
"05/28/2026","46.00","45.87","46.16","45.70","373.60K","0.00%"
"05/27/2026","46.00","46.21","46.38","45.85","407.41K","0.17%"
"05/26/2026","45.92","45.89","46.05","45.69","229.06K","1.66%"
"05/22/2026","45.17","45.43","45.49","45.12","330.35K","-0.73%"
"05/21/2026","45.50","45.01","45.69","44.90","546.67K","0.02%"
"05/20/2026","45.49","44.87","45.72","44.65","279.53K","2.41%"
"05/19/2026","44.42","44.69","44.79","44.36","291.95K","-0.91%"
"05/18/2026","44.83","44.66","44.94","44.40","353.81K","1.52%"
"05/15/2026","44.16","44.41","44.48","44.09","195.50K","-1.93%"
"05/14/2026","45.03","45.17","45.27","45.00","135.83K","-0.24%"
"05/13/2026","45.14","44.75","45.16","44.66","690.85K","0.07%"
"05/12/2026","45.11","45.02","45.13","44.77","162.79K","-0.84%"
"05/11/2026","45.49","45.50","45.51","45.31","1.91M","-0.59%"
"05/08/2026","45.76","45.60","45.85","45.47","193.61K","0.48%"
"05/07/2026","45.54","46.55","46.60","45.51","255.48K","-2.53%"
"05/06/2026","46.72","46.47","46.78","46.46","331.44K","3.55%"
"05/05/2026","45.12","44.81","45.17","44.69","190.63K","1.92%"
"05/04/2026","44.27","44.67","44.84","44.03","405.07K","-2.42%"
