"Date","Price","Open","High","Low","Vol.","Change %"
"08/17/2026","48.17","48.33","48.33","48.13","338.34K","-0.19%"
"08/14/2026","48.26","48.32","48.40","48.21","434.22K","0.00%"
"08/13/2026","48.26","48.33","48.33","48.08","488.29K","-0.23%"
"08/12/2026","48.37","48.38","48.42","48.21","598.07K","0.14%"
"08/11/2026","48.30","48.46","48.64","48.23","1.41M","-0.39%"
"08/10/2026","48.49","48.42","48.58","48.38","4.12M","-0.31%"
"08/07/2026","48.64","48.84","48.86","48.55","918.57K","0.70%"
"08/06/2026","48.30","48.63","48.63","48.26","1.12M","-0.14%"
"08/05/2026","48.37","48.64","48.64","48.34","2.19M","0.06%"
"08/04/2026","48.34","48.46","48.46","48.29","3.17M","0.23%"
"08/03/2026","48.23","48.29","48.43","48.04","1.89M","-0.37%"
"07/31/2026","48.41","48.39","48.53","47.98","792.59K","-0.55%"
"07/30/2026","48.68","48.52","48.70","48.31","1.05M","1.63%"
"07/29/2026","47.90","47.95","48.31","47.77","1.53M","0.17%"
"07/28/2026","47.82","47.50","47.92","47.50","1.13M","0.95%"
"07/27/2026","47.37","47.42","47.58","47.24","451.83K","0.30%"
"07/24/2026","47.23","47.10","47.35","46.97","791.70K","1.13%"
"07/23/2026","46.70","46.76","46.92","46.60","685.58K","-1.14%"
"07/22/2026","47.24","47.50","47.55","47.22","756.68K","1.00%"
"07/21/2026","46.77","46.55","46.80","46.32","590.58K","0.82%"
"07/20/2026","46.39","46.84","46.97","46.34","628.37K","-1.17%"
"07/17/2026","46.94","46.63","47.03","46.63","1.10M","-0.06%"
"07/16/2026","46.97","46.64","47.04","46.53","567.45K","0.43%"
"07/15/2026","46.77","46.54","46.88","46.52","389.01K","0.99%"
"07/14/2026","46.31","46.53","46.67","46.29","1.40M","-0.11%"
"07/13/2026","46.36","46.41","46.51","46.20","1.16M","-0.52%"
"07/10/2026","46.60","46.57","46.69","46.36","1.57M","0.41%"
"07/09/2026","46.41","46.22","46.48","46.18","9.08M","-0.17%"
"07/08/2026","46.49","46.60","46.72","46.26","1.74M","-1.36%"
"07/07/2026","47.13","47.48","47.56","47.03","702.00K","-0.19%"
"07/06/2026","47.22","47.02","47.24","46.85","1.00M","0.13%"
"07/02/2026","47.16","46.82","47.34","46.78","1.99M","2.66%"
"07/01/2026","45.94","45.77","46.12","45.74","1.55M","-0.43%"
"06/30/2026","46.14","46.19","46.22","45.99","990.76K","-0.02%"
"06/29/2026","46.15","46.01","46.16","45.84","2.25M","0.85%"
"06/26/2026","45.76","45.60","46.01","45.57","505.58K","-0.26%"
"06/25/2026","45.88","45.96","46.12","45.80","612.70K","0.95%"
"06/24/2026","45.45","45.38","45.57","45.32","644.69K","-0.26%"
"06/23/2026","45.57","45.50","45.71","45.50","767.66K","-0.26%"
"06/22/2026","45.69","45.74","45.83","45.59","675.06K","0.51%"
"06/18/2026","45.46","45.66","45.66","45.40","923.48K","-1.00%"
"06/17/2026","45.92","46.47","46.59","45.80","1.34M","-1.27%"
"06/16/2026","46.51","46.65","46.71","46.46","605.96K","0.65%"
"06/15/2026","46.21","46.61","46.69","46.16","1.57M","-2.01%"
"06/12/2026","47.16","46.95","47.26","46.84","1.91M","0.55%"
"06/11/2026","46.90","46.37","46.97","46.10","1.26M","2.38%"
"06/10/2026","45.81","46.09","46.21","45.75","988.69K","-1.02%"
"06/09/2026","46.28","46.55","46.66","45.73","2.42M","-0.32%"
"06/08/2026","46.43","46.66","46.72","46.33","2.10M","0.11%"
"06/05/2026","46.38","46.79","46.92","46.24","1.17M","-1.07%"
"06/04/2026","46.88","46.60","46.90","46.58","997.82K","0.99%"
"06/03/2026","46.42","46.70","46.76","46.42","1.52M","-1.09%"
"06/02/2026","46.93","46.70","46.97","46.69","2.68M","0.51%"
"06/01/2026","46.69","46.55","46.88","46.40","2.56M","-0.51%"
"05/29/2026","46.93","47.10","47.38","46.92","3.48M","-0.15%"
"05/28/2026","47.00","46.89","47.19","46.76","2.26M","-0.49%"
"05/27/2026","47.23","47.27","47.38","47.15","829.36K","-0.40%"
"05/26/2026","47.42","47.58","47.69","47.26","568.26K","0.70%"
"05/22/2026","47.09","47.28","47.29","47.06","867.99K","-0.53%"
"05/21/2026","47.34","46.78","47.47","46.67","1.21M","0.59%"
"05/20/2026","47.06","46.51","47.16","46.43","755.61K","1.66%"
"05/19/2026","46.29","46.45","46.53","46.25","2.19M","-0.73%"
"05/18/2026","46.63","46.16","46.65","46.16","1.91M","2.33%"
"05/15/2026","45.57","45.77","45.80","45.42","688.47K","-2.27%"
"05/14/2026","46.63","46.92","47.05","46.60","790.02K","-0.58%"
"05/13/2026","46.90","46.36","46.90","46.36","1.42M","0.64%"
"05/12/2026","46.60","46.30","46.67","46.11","629.33K","-0.11%"
"05/11/2026","46.65","46.80","46.89","46.56","1.47M","-0.11%"
"05/08/2026","46.70","46.68","46.76","46.48","1.01M","0.93%"
"05/07/2026","46.27","47.20","47.30","46.25","1.64M","-2.47%"
"05/06/2026","47.44","47.49","47.53","47.28","1.56M","2.13%"
"05/05/2026","46.45","46.25","46.47","46.03","1.69M","0.06%"
"05/04/2026","46.42","46.67","46.83","46.31","2.18M","-1.28%"
"05/01/2026","47.02","47.10","47.35","46.97","1.77M","-0.28%"
"04/30/2026","47.15","46.75","47.26","46.74","1.13M","2.52%"
"04/29/2026","45.99","46.10","46.17","45.74","1.39M","-1.20%"
"04/28/2026","46.55","46.55","46.63","46.40","863.55K","-0.13%"
"04/27/2026","46.61","46.85","47.00","46.61","1.38M","-0.81%"
"04/24/2026","46.99","46.92","47.04","46.76","1.09M","0.41%"
"04/23/2026","46.80","47.05","47.25","46.46","789.42K","-0.74%"
"04/22/2026","47.15","47.27","47.36","47.07","878.56K","0.45%"
"04/21/2026","46.94","47.72","47.73","46.94","1.73M","-2.21%"
"04/20/2026","48.00","47.93","48.01","47.76","2.00M","-0.52%"
"04/17/2026","48.25","48.17","48.37","48.06","1.39M","0.86%"
"04/16/2026","47.84","48.12","48.16","47.68","1.35M","0.08%"
"04/15/2026","47.80","48.04","48.05","47.73","3.05M","-0.56%"
"04/14/2026","48.07","47.99","48.15","47.93","2.01M","0.44%"
"04/13/2026","47.86","47.45","47.91","47.43","2.85M","0.40%"
"04/10/2026","47.67","47.90","47.90","47.56","860.62K","0.06%"
"04/09/2026","47.64","47.45","47.88","47.31","987.12K","-0.38%"
"04/08/2026","47.82","47.83","47.94","47.45","5.25M","3.24%"
"04/07/2026","46.32","46.06","46.40","45.75","1.98M","-0.22%"
"04/06/2026","46.42","46.30","46.50","46.24","1.36M","0.41%"
"04/02/2026","46.23","45.56","46.37","45.53","1.81M","-0.26%"
"04/01/2026","46.35","46.07","46.44","45.83","1.71M","1.73%"
"03/31/2026","45.56","45.25","45.58","44.81","2.62M","2.52%"
"03/30/2026","44.44","44.62","44.83","44.29","1.14M","0.73%"
"03/27/2026","44.12","44.10","44.54","43.99","1.35M","-0.23%"
"03/26/2026","44.22","44.50","44.84","44.19","1.91M","-2.04%"
"03/25/2026","45.14","45.12","45.28","44.80","2.41M","1.67%"
"03/24/2026","44.40","44.02","44.64","43.96","2.24M","-0.36%"
"03/23/2026","44.56","44.43","45.04","44.17","3.34M","1.62%"
"03/20/2026","43.85","44.98","45.06","43.58","6.82M","-2.79%"
"03/19/2026","45.11","44.51","45.36","44.51","2.15M","-0.59%"
"03/18/2026","45.38","45.99","46.13","45.35","3.06M","-1.99%"
"03/17/2026","46.30","46.42","46.61","46.28","2.16M","0.41%"
"03/16/2026","46.11","45.87","46.18","45.83","2.82M","1.72%"
"03/13/2026","45.33","45.77","46.03","45.24","2.32M","-1.20%"
"03/12/2026","45.88","46.00","46.09","45.66","3.43M","-0.93%"
"03/11/2026","46.31","46.11","46.42","45.98","2.67M","-0.22%"
"03/10/2026","46.41","46.66","46.99","46.35","3.37M","0.26%"
"03/09/2026","46.29","45.22","46.44","45.09","2.89M","0.59%"
"03/06/2026","46.02","45.62","46.13","45.46","1.93M","-0.48%"
"03/05/2026","46.24","46.67","46.79","45.89","2.96M","-2.12%"
"03/04/2026","47.24","47.03","47.31","46.86","3.11M","1.03%"
"03/03/2026","46.76","46.30","46.97","45.91","4.55M","-2.83%"
"03/02/2026","48.12","47.82","48.31","47.78","3.53M","-1.15%"
"02/27/2026","48.68","48.76","48.92","48.60","2.14M","0.14%"
"02/26/2026","48.61","48.60","48.69","48.39","1.73M","-0.10%"
"02/25/2026","48.66","48.35","48.73","48.28","3.01M","1.42%"
"02/24/2026","47.98","47.86","48.10","47.85","1.51M","0.19%"
"02/23/2026","47.89","48.00","48.21","47.74","1.78M","-0.31%"
"02/20/2026","48.04","47.78","48.15","47.72","1.81M","0.76%"
"02/19/2026","47.68","47.37","47.68","47.28","2.15M","-0.42%"
"02/18/2026","47.88","47.90","48.06","47.71","2.19M","0.97%"
"02/17/2026","47.42","47.07","47.53","46.88","1.86M","0.36%"
"02/13/2026","47.25","46.92","47.28","46.81","1.66M","0.51%"
