"Date","Price","Open","High","Low","Vol.","Change %"
"08/17/2026","186.45","183.60","190.10","183.76","10.94M","3.73%"
"08/14/2026","179.74","182.15","183.55","178.55","11.85M","0.63%"
"08/13/2026","178.62","175.47","180.99","174.99","18.51M","1.56%"
"08/12/2026","175.87","174.87","175.96","173.63","17.89M","5.16%"
"08/11/2026","167.24","167.13","168.77","165.80","13.18M","2.53%"
"08/10/2026","163.12","163.00","164.94","162.13","13.58M","-1.79%"
"08/07/2026","166.09","168.71","169.08","161.81","15.10M","1.20%"
"08/06/2026","164.12","161.94","167.94","160.18","17.70M","-2.97%"
"08/05/2026","169.14","169.23","171.73","168.64","14.36M","-1.17%"
"08/04/2026","171.14","166.45","172.62","166.09","23.90M","6.80%"
"08/03/2026","160.24","156.40","161.00","151.30","21.41M","2.00%"
"07/31/2026","157.10","164.61","166.04","156.42","37.07M","-2.55%"
"07/30/2026","161.21","152.26","161.35","151.78","50.70M","11.79%"
"07/29/2026","144.21","148.83","154.06","142.64","48.40M","-4.78%"
"07/28/2026","151.45","152.09","155.14","148.54","31.68M","-6.05%"
"07/27/2026","161.20","166.53","166.91","156.88","19.21M","-1.08%"
"07/24/2026","162.96","168.40","168.79","162.81","21.01M","-6.27%"
"07/23/2026","173.86","171.00","175.08","169.29","18.58M","2.01%"
"07/22/2026","170.43","167.90","172.07","167.90","12.92M","-1.43%"
"07/21/2026","172.90","169.77","174.19","168.90","21.11M","6.16%"
"07/20/2026","162.86","165.20","167.56","162.57","19.11M","0.20%"
"07/17/2026","162.54","156.60","169.00","154.20","38.34M","-0.50%"
"07/16/2026","163.36","166.68","167.68","161.85","23.26M","-4.82%"
"07/15/2026","171.64","175.76","176.15","165.75","28.75M","-3.02%"
"07/14/2026","176.98","173.67","177.52","171.60","29.67M","5.33%"
"07/13/2026","168.02","170.31","172.20","167.44","35.91M","-8.45%"
"07/10/2026","183.52","181.46","184.92","179.24","20.04M","-0.67%"
"07/09/2026","184.75","183.65","185.43","181.90","20.47M","1.11%"
"07/08/2026","182.72","174.74","183.11","174.42","23.16M","0.79%"
