"Date","Price","Open","High","Low","Vol.","Change %"
"08/17/2026","43.50","43.56","43.66","43.49","72.84K","-0.30%"
"08/14/2026","43.63","43.56","43.76","43.58","84.79K","-0.32%"
"08/13/2026","43.77","43.77","43.89","43.69","39.73K","0.05%"
"08/12/2026","43.75","43.87","43.88","43.73","169.27K","-0.50%"
"08/11/2026","43.97","44.02","44.04","43.93","82.84K","0.00%"
"08/10/2026","43.97","44.09","44.10","43.90","98.62K","-0.70%"
"08/07/2026","44.28","44.35","44.35","44.16","139.15K","0.43%"
"08/06/2026","44.09","44.26","44.29","44.06","100.89K","-0.41%"
"08/05/2026","44.27","44.35","44.45","44.22","122.64K","-0.33%"
"08/04/2026","44.42","44.26","44.44","44.20","216.60K","0.58%"
"08/03/2026","44.16","44.05","44.25","44.05","102.41K","0.94%"
"07/31/2026","43.75","43.76","43.83","43.63","50.90K","0.07%"
"07/30/2026","43.72","43.83","43.92","43.71","199.78K","0.76%"
"07/29/2026","43.39","43.46","43.69","43.36","66.53K","-0.42%"
"07/28/2026","43.57","43.15","43.64","43.15","51.44K","1.09%"
"07/27/2026","43.10","42.94","43.14","42.83","154.23K","1.70%"
"07/24/2026","42.38","42.42","42.69","42.36","110.55K","0.79%"
"07/23/2026","42.05","42.16","42.27","41.99","79.59K","-1.13%"
"07/22/2026","42.53","42.72","42.82","42.51","63.69K","-1.14%"
"07/21/2026","43.02","43.00","43.10","42.94","81.30K","0.42%"
"07/20/2026","42.84","43.10","43.19","42.80","163.48K","-1.22%"
"07/17/2026","43.37","43.22","43.49","43.22","178.18K","0.98%"
"07/16/2026","42.95","42.73","43.03","42.71","81.42K","0.12%"
"07/15/2026","42.90","42.82","43.02","42.80","104.06K","0.05%"
"07/14/2026","42.88","42.80","43.00","42.75","30.98K","-0.33%"
"07/13/2026","43.02","43.24","43.29","42.93","142.19K","-0.97%"
"07/10/2026","43.44","43.47","43.50","43.29","60.51K","0.58%"
"07/09/2026","43.19","43.06","43.21","42.92","91.57K","0.58%"
"07/08/2026","42.94","42.96","43.01","42.71","60.71K","-1.49%"
"07/07/2026","43.59","43.92","43.92","43.58","60.68K","-0.91%"
"07/06/2026","43.99","43.78","44.00","43.78","66.40K","0.73%"
"07/02/2026","43.67","43.51","43.67","43.48","101.57K","0.76%"
"07/01/2026","43.34","43.26","43.47","43.26","107.38K","-0.25%"
"06/30/2026","43.45","43.34","43.48","43.31","113.49K","0.00%"
"06/29/2026","43.45","43.48","43.48","43.25","90.43K","-0.62%"
"06/26/2026","43.72","43.54","43.80","43.49","109.46K","0.41%"
"06/25/2026","43.54","43.62","43.74","43.53","121.00K","-0.37%"
"06/24/2026","43.70","43.62","43.76","43.56","206.42K","1.39%"
"06/23/2026","43.10","43.11","43.22","43.06","154.70K","-1.49%"
"06/22/2026","43.75","43.47","43.84","43.47","110.40K","0.57%"
"06/18/2026","43.50","43.70","43.80","43.50","89.37K","0.81%"
