"Date","Price","Open","High","Low","Vol.","Change %"
"08/17/2026","91.54","91.55","91.55","91.54","4.11M","0.01%"
"08/14/2026","91.53","91.54","91.54","91.53","6.06M","0.02%"
"08/13/2026","91.51","91.51","91.51","91.50","6.80M","0.00%"
"08/12/2026","91.51","91.50","91.51","91.49","8.75M","0.02%"
"08/11/2026","91.49","91.50","91.50","91.48","7.40M","0.01%"
"08/10/2026","91.48","91.49","91.49","91.48","7.70M","0.00%"
"08/07/2026","91.48","91.47","91.48","91.46","8.26M","0.03%"
"08/06/2026","91.45","91.45","91.45","91.44","7.55M","0.02%"
"08/05/2026","91.43","91.43","91.44","91.43","10.38M","0.01%"
"08/04/2026","91.42","91.42","91.43","91.42","12.64M","0.00%"
"08/03/2026","91.42","91.42","91.43","91.41","21.92M","-0.28%"
"07/31/2026","91.68","91.68","91.69","91.67","14.72M","0.03%"
"07/30/2026","91.65","91.65","91.66","91.65","10.45M","0.01%"
"07/29/2026","91.64","91.63","91.64","91.63","6.76M","0.01%"
"07/28/2026","91.63","91.63","91.63","91.62","8.82M","0.01%"
"07/27/2026","91.62","91.61","91.62","91.61","9.28M","0.01%"
"07/24/2026","91.61","91.61","91.61","91.60","6.41M","0.03%"
"07/23/2026","91.58","91.58","91.59","91.58","8.38M","0.00%"
"07/22/2026","91.58","91.58","91.58","91.57","6.64M","0.02%"
"07/21/2026","91.56","91.57","91.57","91.56","6.70M","0.00%"
"07/20/2026","91.56","91.56","91.57","91.56","7.28M","0.01%"
"07/17/2026","91.55","91.55","91.56","91.54","15.10M","0.02%"
"07/16/2026","91.53","91.52","91.53","91.52","9.66M","0.01%"
"07/15/2026","91.52","91.52","91.52","91.51","11.50M","0.01%"
"07/14/2026","91.51","91.50","91.51","91.50","6.09M","0.01%"
"07/13/2026","91.50","91.50","91.51","91.50","6.73M","0.00%"
"07/10/2026","91.50","91.49","91.50","91.49","8.43M","0.04%"
"07/09/2026","91.46","91.46","91.47","91.46","6.63M","0.01%"
"07/08/2026","91.45","91.46","91.46","91.45","8.70M","0.00%"
"07/07/2026","91.45","91.45","91.45","91.44","9.22M","0.02%"
"07/06/2026","91.43","91.45","91.45","91.43","14.90M","-0.01%"
"07/02/2026","91.44","91.43","91.44","91.42","10.42M","0.04%"
"07/01/2026","91.40","91.40","91.40","91.39","17.07M","-0.26%"
"06/30/2026","91.64","91.64","91.65","91.64","15.84M","0.00%"
"06/29/2026","91.64","91.64","91.64","91.63","12.00M","0.01%"
"06/26/2026","91.63","91.63","91.63","91.62","7.48M","0.03%"
"06/25/2026","91.60","91.60","91.61","91.60","8.46M","0.01%"
"06/24/2026","91.59","91.60","91.60","91.59","10.14M","0.01%"
"06/23/2026","91.58","91.59","91.59","91.58","10.02M","0.01%"
"06/22/2026","91.57","91.57","91.58","91.57","10.55M","0.00%"
"06/18/2026","91.57","91.56","91.57","91.56","7.81M","0.04%"
"06/17/2026","91.53","91.54","91.54","91.53","8.30M","0.01%"
"06/16/2026","91.52","91.53","91.53","91.52","10.46M","0.01%"
"06/15/2026","91.51","91.52","91.52","91.51","11.77M","0.00%"
"06/12/2026","91.51","91.51","91.51","91.50","18.79M","0.03%"
"06/11/2026","91.48","91.48","91.48","91.47","8.70M","0.01%"
"06/10/2026","91.47","91.48","91.48","91.47","8.00M","0.01%"
"06/09/2026","91.46","91.46","91.47","91.46","10.44M","0.00%"
