"Date","Price","Open","High","Low","Vol.","Change %"
"08/17/2026","67.47","67.32","67.93","67.31","10.59M","1.29%"
"08/14/2026","66.61","66.85","67.09","66.42","11.96M","-0.10%"
"08/13/2026","66.68","66.42","66.97","66.35","14.55M","0.33%"
"08/12/2026","66.46","66.61","66.67","66.19","20.26M","1.57%"
"08/11/2026","65.43","65.62","65.75","65.19","9.76M","0.40%"
"08/10/2026","65.17","65.21","65.36","64.98","19.10M","-0.72%"
"08/07/2026","65.64","65.87","65.94","65.00","21.46M","0.95%"
"08/06/2026","65.02","64.68","65.56","64.46","20.78M","-1.07%"
"08/05/2026","65.72","65.95","66.24","65.67","21.45M","-0.42%"
"08/04/2026","66.00","65.22","66.14","65.12","25.81M","2.61%"
"08/03/2026","64.32","63.74","64.44","63.34","21.83M","0.36%"
"07/31/2026","64.09","64.93","65.06","63.51","31.15M","0.79%"
"07/30/2026","63.59","62.48","63.64","62.29","42.23M","4.13%"
"07/29/2026","61.07","61.73","62.70","60.76","32.44M","-2.07%"
"07/28/2026","62.36","62.06","62.79","61.67","29.00M","-1.98%"
"07/27/2026","63.62","64.22","64.27","62.85","23.44M","0.46%"
"07/24/2026","63.33","63.95","64.15","63.24","20.53M","-1.97%"
"07/23/2026","64.60","64.49","65.04","63.99","13.00M","-0.60%"
"07/22/2026","64.99","64.64","65.19","64.63","13.40M","-0.54%"
"07/21/2026","65.34","65.12","65.50","64.82","20.84M","2.80%"
"07/20/2026","63.56","64.04","64.17","63.48","19.27M","0.43%"
"07/17/2026","63.29","62.30","63.89","62.01","35.15M","-1.40%"
"07/16/2026","64.19","64.43","64.72","63.92","21.57M","-2.10%"
"07/15/2026","65.57","65.87","66.04","64.66","30.07M","-0.15%"
"07/14/2026","65.67","65.53","65.80","65.11","18.56M","1.81%"
"07/13/2026","64.50","65.19","65.29","64.39","25.47M","-3.59%"
"07/10/2026","66.90","66.54","67.02","66.18","18.69M","0.18%"
"07/09/2026","66.78","66.57","66.96","66.36","19.57M","0.83%"
"07/08/2026","66.23","65.16","66.25","64.96","20.72M","0.78%"
"07/07/2026","65.72","65.99","66.33","65.25","26.29M","-2.74%"
"07/06/2026","67.57","67.25","67.79","67.21","24.04M","2.85%"
"07/02/2026","65.70","66.53","67.19","64.80","34.26M","-1.17%"
"07/01/2026","66.48","66.91","67.46","66.48","28.15M","-2.82%"
"06/30/2026","68.41","67.59","68.50","67.48","20.38M","1.45%"
"06/29/2026","67.43","66.99","67.46","66.00","18.61M","0.36%"
