"Date","Price","Open","High","Low","Vol.","Change %"
"08/17/2026","33.03","32.64","33.04","32.63","160.82K","1.72%"
"08/14/2026","32.47","32.16","32.53","32.12","116.19K","0.81%"
"08/13/2026","32.21","32.28","32.46","32.05","388.65K","-1.26%"
"08/12/2026","32.62","32.49","32.67","32.45","293.48K","0.31%"
"08/11/2026","32.52","32.15","32.55","32.14","304.15K","0.62%"
"08/10/2026","32.32","31.81","32.38","31.81","423.02K","3.96%"
"08/07/2026","31.09","31.04","31.39","31.04","279.44K","0.06%"
"08/06/2026","31.07","30.75","31.19","30.74","793.28K","1.67%"
"08/05/2026","30.56","30.62","30.70","30.41","346.27K","0.36%"
"08/04/2026","30.45","30.51","30.62","30.34","804.17K","-2.34%"
"08/03/2026","31.18","31.15","31.31","30.99","808.92K","-2.68%"
"07/31/2026","32.04","32.19","32.26","31.92","331.68K","0.28%"
"07/30/2026","31.95","31.88","32.06","31.87","602.41K","-0.56%"
"07/29/2026","32.13","31.94","32.23","31.92","524.32K","3.35%"
"07/28/2026","31.09","31.32","31.47","30.90","731.57K","-1.27%"
"07/27/2026","31.49","31.97","31.97","31.49","648.55K","-3.91%"
"07/24/2026","32.77","32.84","32.87","32.51","657.44K","-1.12%"
"07/23/2026","33.14","33.09","33.47","33.05","540.84K","2.13%"
"07/22/2026","32.45","32.40","32.60","32.36","282.33K","0.90%"
"07/21/2026","32.16","32.07","32.16","31.92","498.02K","1.68%"
"07/20/2026","31.63","31.48","31.77","31.40","363.36K","0.73%"
"07/17/2026","31.40","31.23","31.50","31.15","328.88K","1.65%"
"07/16/2026","30.89","31.16","31.16","30.79","253.11K","-0.93%"
"07/15/2026","31.18","31.13","31.22","30.76","437.49K","0.58%"
"07/14/2026","31.00","31.04","31.09","30.68","682.10K","1.57%"
"07/13/2026","30.52","29.85","30.61","29.82","475.14K","3.60%"
"07/10/2026","29.46","29.54","29.71","29.32","604.88K","-0.27%"
"07/09/2026","29.54","29.82","29.84","29.45","386.80K","-1.40%"
"07/08/2026","29.96","29.77","30.23","29.59","656.93K","2.32%"
"07/07/2026","29.28","28.89","29.38","28.89","637.32K","1.35%"
"07/06/2026","28.89","28.74","28.90","28.69","628.44K","1.83%"
"07/02/2026","28.37","28.29","28.42","28.20","1.56M","0.14%"
"07/01/2026","28.33","28.45","28.58","28.29","450.41K","-0.94%"
"06/30/2026","28.60","28.68","28.71","28.46","611.86K","0.56%"
"06/29/2026","28.44","28.45","28.55","28.34","749.43K","0.18%"
"06/26/2026","28.39","28.46","28.49","28.27","509.98K","-1.70%"
"06/25/2026","28.88","28.35","28.93","28.35","557.57K","2.30%"
"06/24/2026","28.23","28.26","28.46","28.21","600.77K","-2.49%"
"06/23/2026","28.95","28.86","28.99","28.78","572.00K","-1.03%"
"06/22/2026","29.25","29.34","29.38","29.11","567.59K","-0.95%"
"06/18/2026","29.53","29.32","29.57","29.01","2.44M","0.24%"
"06/17/2026","29.46","29.70","30.29","29.46","896.00K","-0.67%"
"06/16/2026","29.66","29.60","29.76","29.44","291.22K","-1.56%"
