"Date","Price","Open","High","Low","Vol.","Change %"
"08/17/2026","715.68","715.24","716.62","714.03","201.99K","-0.17%"
"08/14/2026","716.91","714.83","717.35","712.57","440.58K","0.32%"
"08/13/2026","714.60","713.62","715.45","711.62","330.48K","0.40%"
"08/12/2026","711.72","713.40","713.57","708.24","367.64K","0.38%"
"08/11/2026","709.05","707.80","712.43","707.49","385.29K","0.29%"
"08/10/2026","706.98","708.43","709.66","705.86","411.33K","-0.31%"
"08/07/2026","709.16","705.78","710.31","704.55","531.74K","1.37%"
"08/06/2026","699.57","702.03","707.33","699.43","503.61K","-0.34%"
"08/05/2026","701.98","707.74","710.42","701.86","809.07K","-0.64%"
"08/04/2026","706.48","697.65","707.60","694.85","1.38M","1.79%"
"08/03/2026","694.09","687.64","694.25","686.58","578.17K","1.13%"
"07/31/2026","686.32","690.08","691.20","680.68","573.11K","-0.13%"
"07/30/2026","687.19","687.61","687.87","679.11","465.44K","0.89%"
"07/29/2026","681.16","691.15","691.59","680.57","861.79K","-1.70%"
"07/28/2026","692.97","691.20","694.00","689.15","477.69K","0.02%"
"07/27/2026","692.85","694.27","698.24","688.17","615.70K","0.31%"
"07/24/2026","690.71","691.18","695.52","688.57","557.95K","0.40%"
"07/23/2026","687.93","686.00","690.56","683.79","479.21K","-0.32%"
"07/22/2026","690.13","688.91","694.09","688.91","410.88K","-0.04%"
"07/21/2026","690.43","686.98","690.91","683.70","682.61K","1.04%"
"07/20/2026","683.34","691.46","692.45","683.10","1.01M","-0.79%"
"07/17/2026","688.75","686.49","693.27","684.79","572.23K","-0.61%"
"07/16/2026","692.99","686.35","695.26","686.35","581.85K","0.51%"
"07/15/2026","689.49","690.99","693.30","685.81","453.50K","0.04%"
"07/14/2026","689.19","691.50","693.49","687.16","648.99K","0.47%"
"07/13/2026","685.98","689.53","691.22","684.44","566.89K","-0.56%"
"07/10/2026","689.82","691.41","692.48","685.12","613.36K","-0.06%"
"07/09/2026","690.22","686.15","694.11","686.14","487.40K","1.28%"
"07/08/2026","681.47","683.47","684.44","675.55","498.43K","-0.97%"
"07/07/2026","688.12","694.95","696.36","686.42","593.60K","-1.23%"
"07/06/2026","696.66","695.06","698.96","694.50","431.84K","0.43%"
"07/02/2026","693.70","699.80","704.45","687.29","677.12K","-0.48%"
"07/01/2026","697.07","699.90","703.74","695.64","1.02M","-0.89%"
"06/30/2026","703.34","698.29","704.17","696.55","1.27M","0.78%"
"06/29/2026","697.92","696.28","698.03","689.55","951.94K","0.38%"
"06/26/2026","695.29","693.38","697.80","690.98","1.24M","-0.30%"
"06/25/2026","697.38","696.53","703.36","693.95","794.41K","0.92%"
"06/24/2026","691.05","687.94","695.67","687.81","880.42K","0.62%"
"06/23/2026","686.82","683.91","692.26","682.14","582.91K","-1.01%"
"06/22/2026","693.83","693.22","695.85","691.49","725.47K","0.41%"
