"Date","Price","Open","High","Low","Vol.","Change %"
"08/17/2026","98.02","98.50","98.35","97.72","1.54M","-0.82%"
"08/14/2026","98.83","98.60","99.01","98.43","2.14M","0.25%"
"08/13/2026","98.58","97.81","98.76","97.77","2.59M","1.31%"
"08/12/2026","97.31","96.81","97.39","96.50","2.79M","0.96%"
"08/11/2026","96.38","96.89","97.05","96.30","3.33M","-0.75%"
"08/10/2026","97.11","97.74","97.95","96.74","3.34M","-1.34%"
"08/07/2026","98.43","98.13","98.95","97.86","3.00M","0.40%"
"08/06/2026","98.04","99.65","99.66","97.77","2.92M","-0.89%"
"08/05/2026","98.92","99.14","99.28","98.06","3.32M","0.00%"
"08/04/2026","98.92","98.12","99.10","97.45","4.32M","-0.15%"
"08/03/2026","99.07","99.01","99.64","98.62","3.23M","0.12%"
"07/31/2026","98.95","99.46","99.54","98.36","3.53M","-0.54%"
"07/30/2026","99.49","100.86","101.00","98.58","3.84M","-1.16%"
"07/29/2026","100.66","101.00","101.31","100.24","3.80M","-0.29%"
"07/28/2026","100.95","101.27","101.80","100.93","3.29M","0.41%"
"07/27/2026","100.54","100.69","101.14","100.33","1.92M","-0.27%"
"07/24/2026","100.81","99.47","101.16","99.47","3.21M","2.15%"
"07/23/2026","98.69","98.64","99.40","98.42","2.04M","-0.33%"
"07/22/2026","99.02","99.80","99.88","98.83","1.88M","-0.50%"
"07/21/2026","99.52","99.68","99.81","99.11","2.88M","0.04%"
"07/20/2026","99.48","99.72","100.19","99.11","2.18M","-0.54%"
"07/17/2026","100.02","100.32","101.08","99.51","3.01M","-0.05%"
"07/16/2026","100.07","98.13","100.13","98.11","3.25M","2.26%"
"07/15/2026","97.86","97.90","98.94","97.50","2.33M","0.30%"
"07/14/2026","97.57","97.93","98.21","97.36","2.31M","-0.27%"
"07/13/2026","97.83","97.63","98.37","97.45","3.47M","0.52%"
"07/10/2026","97.32","97.61","97.76","96.57","2.54M","0.24%"
"07/09/2026","97.09","97.03","97.63","96.75","2.47M","0.30%"
"07/08/2026","96.80","98.18","98.27","96.72","6.05M","-1.63%"
"07/07/2026","98.40","97.81","99.05","97.71","2.81M","1.19%"
"07/06/2026","97.24","98.19","98.22","96.96","4.49M","-0.80%"
"07/02/2026","98.02","97.39","98.06","97.18","3.56M","1.24%"
"07/01/2026","96.82","96.52","97.58","96.49","5.20M","0.40%"
"06/30/2026","96.43","97.03","97.40","96.35","5.31M","-1.75%"
"06/29/2026","98.15","98.39","98.56","97.29","3.14M","-0.53%"
"06/26/2026","98.67","97.82","98.74","97.61","3.88M","1.52%"
"06/25/2026","97.19","97.49","97.60","96.17","4.01M","0.19%"
"06/24/2026","97.01","97.26","97.56","96.53","4.83M","-0.87%"
"06/23/2026","97.86","96.76","98.08","96.76","3.17M","1.31%"
"06/22/2026","96.59","95.91","97.01","95.49","4.48M","1.08%"
"06/18/2026","95.56","96.31","96.50","95.44","2.67M","-0.05%"
"06/17/2026","95.61","97.73","97.98","95.34","2.86M","-2.50%"
"06/16/2026","98.06","98.46","98.76","97.75","2.62M","0.25%"
"06/15/2026","97.82","98.50","99.15","97.57","3.07M","-0.70%"
"06/12/2026","98.51","97.86","98.86","97.86","1.99M","0.92%"
"06/11/2026","97.61","97.86","98.29","97.19","3.90M","-0.07%"
"06/10/2026","97.68","97.93","98.40","97.64","3.79M","0.01%"
"06/09/2026","97.67","96.01","98.11","96.01","3.45M","2.30%"
"06/08/2026","95.47","96.83","97.11","95.34","2.77M","-1.36%"
"06/05/2026","96.79","95.79","97.51","95.69","3.65M","0.72%"
"06/04/2026","96.10","95.57","96.15","94.98","3.79M","1.79%"
"06/03/2026","94.41","94.34","95.33","94.09","2.62M","-0.12%"
"06/02/2026","94.52","94.13","94.61","93.68","2.14M","0.46%"
"06/01/2026","94.09","95.13","95.25","94.05","3.95M","-1.68%"
"05/29/2026","95.70","96.35","96.41","95.38","3.34M","-0.88%"
"05/28/2026","96.55","96.73","97.24","96.27","2.90M","-0.38%"
"05/27/2026","96.92","97.05","97.71","96.91","2.51M","-0.31%"
"05/26/2026","97.22","97.15","97.54","96.81","3.19M","0.47%"
"05/22/2026","96.77","96.95","97.22","96.14","3.55M","0.10%"
"05/21/2026","96.67","96.04","96.76","95.47","2.49M","0.19%"
"05/20/2026","96.49","95.27","96.50","95.15","2.65M","1.27%"
"05/19/2026","95.28","94.98","95.53","94.47","2.09M","0.28%"
"05/18/2026","95.01","94.04","95.18","94.04","2.77M","1.17%"
"05/15/2026","93.91","95.10","95.12","93.78","4.54M","-1.48%"
"05/14/2026","95.32","96.16","96.34","95.25","2.52M","-0.59%"
"05/13/2026","95.89","96.23","96.28","95.44","5.05M","-0.83%"
"05/12/2026","96.69","96.62","96.89","95.97","2.33M","0.00%"
"05/11/2026","96.69","96.90","97.32","96.39","3.87M","0.07%"
"05/08/2026","96.62","96.67","97.19","96.58","2.19M","0.24%"
"05/07/2026","96.39","96.81","97.14","95.97","2.74M","-0.72%"
"05/06/2026","97.09","96.40","97.37","96.36","3.24M","1.39%"
"05/05/2026","95.76","95.65","95.96","95.03","2.54M","0.31%"
"05/04/2026","95.46","95.74","96.29","95.08","3.60M","-0.62%"
"05/01/2026","96.06","96.60","96.71","95.81","3.25M","-0.28%"
"04/30/2026","96.33","94.68","96.41","94.55","3.73M","1.51%"
"04/29/2026","94.90","95.17","95.80","94.51","2.90M","-0.78%"
"04/28/2026","95.65","95.12","95.74","94.48","2.87M","0.92%"
"04/27/2026","94.78","94.95","95.70","94.70","2.52M","-0.55%"
"04/24/2026","95.30","95.43","96.01","95.22","1.99M","-0.20%"
"04/23/2026","95.49","94.86","95.56","94.51","3.44M","1.03%"
"04/22/2026","94.52","95.60","96.01","94.13","2.71M","-0.83%"
"04/21/2026","95.31","96.96","97.06","95.17","3.24M","-1.77%"
"04/20/2026","97.03","96.50","97.03","96.33","2.25M","0.36%"
"04/17/2026","96.68","95.50","96.81","95.39","2.58M","1.60%"
"04/16/2026","95.16","94.52","95.21","94.38","2.01M","0.92%"
"04/15/2026","94.29","93.96","94.33","93.67","2.76M","0.07%"
"04/14/2026","94.22","93.20","94.32","93.04","1.92M","0.95%"
"04/13/2026","93.33","92.70","93.38","92.37","2.04M","0.38%"
"04/10/2026","92.98","92.79","93.28","92.57","2.57M","0.22%"
"04/09/2026","92.78","91.72","93.57","91.67","3.85M","0.72%"
"04/08/2026","92.12","91.90","92.22","91.54","5.05M","1.80%"
"04/07/2026","90.49","90.07","90.81","89.66","3.18M","0.14%"
"04/06/2026","90.36","89.96","90.62","89.72","2.54M","0.14%"
"04/02/2026","90.23","88.89","90.32","88.44","3.29M","1.36%"
"04/01/2026","89.02","88.69","89.36","88.55","4.41M","0.36%"
"03/31/2026","88.70","88.47","89.43","87.65","4.93M","1.57%"
"03/30/2026","87.33","87.91","88.52","87.04","5.47M","0.38%"
"03/27/2026","87.00","87.53","87.99","86.84","4.44M","-0.82%"
"03/26/2026","87.72","87.66","88.50","87.30","6.11M","-0.14%"
"03/25/2026","87.84","88.34","88.57","87.43","5.06M","-0.08%"
"03/24/2026","87.91","87.97","88.78","87.65","3.92M","-1.71%"
"03/23/2026","89.44","89.89","90.61","89.40","6.26M","0.78%"
"03/20/2026","88.75","91.64","91.64","88.33","6.30M","-3.10%"
"03/19/2026","91.59","91.58","92.08","91.08","4.71M","-0.40%"
"03/18/2026","91.96","92.97","93.04","91.91","2.84M","-1.48%"
"03/17/2026","93.34","93.55","94.04","93.27","2.96M","0.44%"
"03/16/2026","92.93","93.11","93.66","92.81","3.48M","0.84%"
"03/13/2026","92.16","92.91","93.31","92.05","4.06M","0.16%"
"03/12/2026","92.01","91.86","92.69","91.65","3.93M","-0.69%"
"03/11/2026","92.65","93.09","93.27","92.39","4.69M","-1.04%"
"03/10/2026","93.62","93.49","94.46","93.04","5.11M","-0.15%"
"03/09/2026","93.76","92.68","94.07","91.55","4.97M","0.22%"
"03/06/2026","93.55","93.78","93.82","93.07","4.61M","-1.09%"
"03/05/2026","94.58","94.57","94.84","93.88","4.64M","-1.00%"
"03/04/2026","95.54","95.17","95.63","94.53","3.90M","0.13%"
"03/03/2026","95.42","94.39","95.75","93.68","4.83M","-0.53%"
"03/02/2026","95.93","95.20","96.20","94.62","5.48M","0.25%"
"02/27/2026","95.69","95.20","96.23","95.18","4.71M","0.18%"
"02/26/2026","95.52","95.17","95.68","94.93","3.76M","0.69%"
"02/25/2026","94.87","95.03","95.32","94.42","3.30M","-0.27%"
"02/24/2026","95.13","94.65","95.25","94.48","3.79M","0.25%"
"02/23/2026","94.89","94.75","95.64","94.55","3.65M","0.01%"
"02/20/2026","94.88","94.29","94.89","94.11","2.84M","0.75%"
"02/19/2026","94.17","94.26","94.81","93.79","2.65M","-0.21%"
"02/18/2026","94.37","95.22","95.36","94.15","4.16M","-1.17%"
"02/17/2026","95.49","94.94","95.56","94.38","3.61M","0.95%"
"02/13/2026","94.59","93.59","94.93","93.30","3.91M","1.44%"
"02/12/2026","93.25","94.46","95.15","93.10","7.47M","-0.12%"
"02/11/2026","93.36","94.07","94.20","93.22","4.43M","-0.55%"
"02/10/2026","93.88","92.76","94.11","92.74","4.27M","1.34%"
"02/09/2026","92.64","92.16","92.72","91.60","3.02M","0.42%"
"02/06/2026","92.25","91.53","92.38","91.32","3.64M","1.57%"
"02/05/2026","90.82","90.76","91.33","90.24","3.59M","-0.14%"
"02/04/2026","90.95","90.24","91.32","89.89","3.94M","1.44%"
"02/03/2026","89.66","89.75","90.18","89.07","4.82M","-0.22%"
"02/02/2026","89.86","90.90","91.15","89.82","5.28M","-1.04%"
"01/30/2026","90.80","90.46","90.82","89.65","4.62M","0.10%"
"01/29/2026","90.71","89.98","90.83","89.42","7.28M","1.40%"
"01/28/2026","89.46","90.48","90.61","89.24","4.52M","-1.03%"
"01/27/2026","90.39","90.31","90.58","90.04","3.22M","-0.03%"
"01/26/2026","90.42","90.79","91.06","90.32","3.00M","-0.13%"
"01/23/2026","90.54","90.22","90.63","89.88","2.84M","0.20%"
"01/22/2026","90.36","91.37","91.62","90.31","3.92M","-0.99%"
"01/21/2026","91.26","91.54","91.69","90.53","6.14M","0.40%"
"01/20/2026","90.90","91.82","92.07","90.84","4.65M","-1.86%"
"01/16/2026","92.62","91.34","92.82","91.21","4.82M","1.22%"
"01/15/2026","91.50","91.30","91.89","91.02","3.85M","0.69%"
"01/14/2026","90.87","90.08","90.89","90.01","3.54M","0.87%"
"01/13/2026","90.09","89.62","90.16","88.81","3.09M","0.56%"
"01/12/2026","89.59","89.58","89.96","89.32","3.34M","0.13%"
"01/09/2026","89.47","89.31","90.02","89.31","4.13M","0.20%"
"01/08/2026","89.29","88.10","89.63","88.01","5.17M","0.89%"
"01/07/2026","88.50","89.87","90.01","88.48","6.67M","-0.97%"
"01/06/2026","89.37","88.38","89.57","88.28","4.89M","0.73%"
"01/05/2026","88.72","88.30","89.07","87.88","5.50M","0.23%"
"01/02/2026","88.52","88.37","88.85","87.84","3.52M","0.03%"
"12/31/2025","88.49","89.18","89.20","88.45","3.30M","-0.82%"
"12/30/2025","89.22","89.10","89.27","88.92","2.81M","0.20%"
"12/29/2025","89.04","89.24","89.33","88.79","2.60M","0.20%"
"12/26/2025","88.86","88.70","88.92","88.46","2.07M","0.11%"
"12/25/2025","88.76","88.21","88.76","88.76","2.73M","0.00%"
"12/24/2025","88.76","88.21","88.91","88.21","2.73M","0.66%"
"12/23/2025","88.18","88.28","88.28","87.86","3.96M","-0.07%"
"12/22/2025","88.24","87.65","88.36","87.47","3.59M","-0.40%"
"12/19/2025","88.59","88.67","89.17","88.55","4.16M","-0.38%"
"12/18/2025","88.93","89.84","89.99","88.83","3.82M","-0.53%"
"12/17/2025","89.40","88.99","89.76","88.97","3.72M","0.37%"
"12/16/2025","89.07","89.65","89.98","88.93","3.72M","-0.74%"
"12/15/2025","89.73","89.82","89.88","89.10","3.92M","0.31%"
"12/12/2025","89.45","89.95","90.27","89.23","3.86M","-0.12%"
"12/11/2025","89.56","89.43","89.92","89.26","5.21M","0.44%"
"12/10/2025","89.17","89.13","89.81","89.01","4.63M","0.36%"
"12/09/2025","88.85","89.44","89.98","88.82","4.19M","-0.38%"
"12/08/2025","89.19","89.92","89.92","89.15","3.97M","-0.77%"
"12/05/2025","89.88","89.82","90.35","89.72","3.86M","-0.11%"
"12/04/2025","89.98","90.03","90.59","89.86","4.84M","-0.24%"
"12/03/2025","90.20","89.86","90.42","89.81","3.20M","0.26%"
"12/02/2025","89.97","90.52","90.64","89.68","2.74M","-0.35%"
"12/01/2025","90.29","90.45","90.81","90.22","3.12M","-1.15%"
"11/28/2025","91.34","90.93","91.60","90.93","1.63M","0.33%"
"11/26/2025","91.04","90.43","91.57","90.39","3.30M","0.44%"
"11/25/2025","90.64","90.05","91.04","90.05","4.23M","0.92%"
"11/24/2025","89.81","89.64","89.94","89.09","3.33M","0.27%"
"11/21/2025","89.57","88.66","89.89","88.38","5.77M","1.62%"
"11/20/2025","88.14","89.07","89.57","88.11","5.32M","-0.42%"
"11/19/2025","88.51","89.20","89.30","88.21","4.03M","-0.78%"
"11/18/2025","89.21","88.81","89.46","88.57","4.28M","0.41%"
"11/17/2025","88.85","89.83","89.85","88.60","4.07M","-0.83%"
"11/14/2025","89.59","89.63","89.74","89.10","3.66M","0.21%"
"11/13/2025","89.40","90.03","90.40","89.25","3.73M","-1.23%"
"11/12/2025","90.51","90.75","91.17","90.48","3.65M","-0.75%"
"11/11/2025","91.19","90.51","91.26","90.49","3.19M","1.12%"
"11/10/2025","90.18","90.02","90.58","89.64","3.40M","-0.06%"
"11/07/2025","90.23","89.04","90.25","88.94","5.28M","1.55%"
"11/06/2025","88.85","89.19","89.55","88.82","3.42M","-0.48%"
"11/05/2025","89.28","89.48","89.57","88.74","2.89M","0.09%"
"11/04/2025","89.20","89.24","89.32","88.76","4.06M","0.17%"
"11/03/2025","89.05","88.20","89.14","87.86","4.52M","-0.15%"
"10/31/2025","89.18","88.50","89.47","88.17","3.98M","0.26%"
"10/30/2025","88.95","88.46","89.55","88.20","5.18M","0.47%"
"10/29/2025","88.53","90.20","90.36","88.23","5.65M","-2.58%"
