"Date","Price","Open","High","Low","Vol.","Change %"
"08/17/2026","382.54","383.85","383.94","382.32","2.28M","-0.34%"
"08/14/2026","383.85","384.67","384.90","383.33","2.31M","-0.12%"
"08/13/2026","384.30","383.03","385.12","382.64","2.32M","0.65%"
"08/12/2026","381.83","382.75","382.82","381.13","2.80M","0.31%"
"08/11/2026","380.65","382.51","382.60","380.19","3.90M","-0.26%"
"08/10/2026","381.63","381.63","382.66","381.10","5.17M","-0.04%"
"08/07/2026","381.78","380.69","382.07","379.93","2.32M","0.71%"
"08/06/2026","379.07","379.82","380.94","378.64","3.09M","-0.15%"
"08/05/2026","379.65","382.82","383.29","379.56","2.84M","-0.31%"
"08/04/2026","380.82","375.35","381.74","375.30","3.30M","1.87%"
"08/03/2026","373.84","369.50","374.26","369.00","3.43M","1.53%"
"07/31/2026","368.21","367.80","369.34","363.95","3.20M","0.53%"
"07/30/2026","366.27","363.81","366.58","362.64","2.88M","1.62%"
"07/29/2026","360.42","365.59","366.88","360.20","4.15M","-1.52%"
"07/28/2026","365.99","365.02","366.90","363.55","2.64M","0.22%"
"07/27/2026","365.18","367.68","368.32","363.61","2.87M","0.10%"
"07/24/2026","364.80","364.90","367.30","364.10","2.61M","0.03%"
"07/23/2026","364.69","365.13","366.76","363.10","3.28M","-1.13%"
"07/22/2026","368.87","368.81","370.16","368.57","2.39M","-0.16%"
"07/21/2026","369.45","368.15","369.85","367.34","2.14M","0.87%"
"07/20/2026","366.25","368.75","369.64","366.08","2.86M","-0.21%"
"07/17/2026","367.01","366.48","369.08","365.72","3.16M","-0.96%"
"07/16/2026","370.58","371.55","372.56","369.19","3.22M","-0.49%"
"07/15/2026","372.42","372.30","372.96","370.24","2.91M","0.34%"
"07/14/2026","371.16","371.00","371.97","369.75","3.40M","0.37%"
"07/13/2026","369.78","371.59","372.22","369.25","2.93M","-0.78%"
"07/10/2026","372.69","372.00","372.97","369.52","2.77M","0.33%"
"07/09/2026","371.45","369.47","371.85","368.70","5.48M","0.87%"
"07/08/2026","368.25","367.61","368.58","365.31","3.86M","-0.37%"
"07/07/2026","369.61","371.31","371.75","368.48","2.88M","-0.55%"
"07/06/2026","371.67","370.33","372.28","369.96","3.27M","0.79%"
"07/02/2026","368.76","370.39","372.24","366.18","3.12M","-0.14%"
"07/01/2026","369.27","369.34","371.38","367.84","2.85M","-0.21%"
"06/30/2026","370.04","367.31","370.61","367.09","4.22M","0.80%"
"06/29/2026","367.12","365.15","367.39","362.55","3.83M","1.35%"
"06/26/2026","362.22","360.88","364.79","359.95","2.74M","-0.48%"
"06/25/2026","363.98","366.48","366.83","362.31","2.90M","0.09%"
"06/24/2026","363.65","364.79","367.11","362.63","3.04M","-0.01%"
"06/23/2026","363.70","363.27","366.66","362.87","3.18M","-1.39%"
"06/22/2026","368.81","370.28","371.56","368.19","3.30M","-0.32%"
"06/18/2026","369.99","370.56","370.62","368.34","3.41M","1.16%"
"06/17/2026","365.76","370.78","371.52","365.08","4.77M","-1.24%"
"06/16/2026","370.37","372.79","373.16","370.10","2.81M","-0.58%"
"06/15/2026","372.53","371.80","373.64","371.55","3.56M","1.68%"
"06/12/2026","366.36","366.18","367.93","363.23","3.23M","0.57%"
"06/11/2026","364.30","359.63","365.50","357.75","3.96M","1.75%"
"06/10/2026","358.04","361.87","364.56","357.90","3.39M","-1.55%"
"06/09/2026","363.67","366.70","368.66","356.28","4.69M","-0.22%"
"06/08/2026","364.47","366.69","367.58","364.04","5.43M","0.30%"
"06/05/2026","363.38","370.98","371.18","362.46","5.21M","-2.68%"
"06/04/2026","373.38","370.62","373.99","370.36","3.13M","0.47%"
"06/03/2026","371.65","373.85","373.95","371.32","3.41M","-0.72%"
"06/02/2026","374.36","372.88","374.70","372.63","2.70M","0.26%"
"06/01/2026","373.40","372.18","374.44","371.48","6.89M","0.23%"
"05/29/2026","372.54","372.04","373.13","371.35","3.17M","0.24%"
"05/28/2026","371.66","369.53","371.92","368.75","2.96M","0.62%"
"05/27/2026","369.36","369.50","370.05","368.40","3.10M","-0.03%"
"05/26/2026","369.46","368.98","370.24","368.40","3.57M","0.73%"
"05/22/2026","366.79","366.81","368.30","366.09","2.65M","0.47%"
"05/21/2026","365.09","362.80","366.07","362.13","2.77M","0.25%"
"05/20/2026","364.19","361.20","364.39","360.20","3.15M","1.15%"
"05/19/2026","360.06","360.65","361.97","358.80","3.17M","-0.63%"
"05/18/2026","362.36","363.34","364.07","359.98","3.58M","-0.10%"
"05/15/2026","362.74","364.53","364.93","362.27","3.40M","-1.27%"
"05/14/2026","367.40","365.50","368.25","365.42","2.93M","0.74%"
"05/13/2026","364.71","363.22","365.40","361.36","3.31M","0.53%"
"05/12/2026","362.79","362.52","363.16","359.62","3.07M","-0.23%"
"05/11/2026","363.63","362.61","364.48","362.42","3.67M","0.21%"
"05/08/2026","362.87","362.01","363.13","361.47","2.87M","0.74%"
"05/07/2026","360.20","362.62","362.72","359.38","3.50M","-0.46%"
"05/06/2026","361.86","359.46","362.27","359.12","3.79M","1.36%"
"05/05/2026","356.99","355.79","357.58","355.77","2.72M","0.85%"
"05/04/2026","353.98","355.08","356.17","352.53","3.01M","-0.37%"
"05/01/2026","355.29","355.56","357.15","355.08","3.75M","0.31%"
"04/30/2026","354.18","351.55","354.69","350.02","2.72M","1.13%"
"04/29/2026","350.21","350.46","350.69","348.67","2.74M","-0.12%"
"04/28/2026","350.63","351.19","351.61","349.49","3.07M","-0.54%"
"04/27/2026","352.53","352.00","352.81","351.28","2.81M","0.14%"
"04/24/2026","352.05","350.87","352.37","349.67","2.71M","0.64%"
"04/23/2026","349.80","350.52","351.69","346.55","3.37M","-0.40%"
"04/22/2026","351.22","350.31","351.31","349.95","2.49M","0.97%"
"04/21/2026","347.84","351.05","351.74","347.17","4.91M","-0.68%"
"04/20/2026","350.21","349.90","350.61","348.83","4.05M","-0.09%"
"04/17/2026","350.53","348.43","351.74","348.18","4.26M","1.30%"
"04/16/2026","346.03","345.70","346.64","344.56","3.84M","0.23%"
"04/15/2026","345.24","343.25","345.41","342.61","3.98M","0.76%"
"04/14/2026","342.65","339.80","342.78","339.60","3.38M","1.18%"
"04/13/2026","338.67","333.94","338.74","333.64","3.03M","1.08%"
"04/10/2026","335.05","336.13","336.55","334.57","2.58M","-0.12%"
"04/09/2026","335.45","333.31","336.13","332.43","3.44M","0.52%"
"04/08/2026","333.70","334.19","334.48","331.58","5.38M","2.54%"
"04/07/2026","325.43","324.22","325.58","321.46","3.57M","0.07%"
"04/06/2026","325.21","323.95","325.62","323.58","4.40M","0.45%"
"04/02/2026","323.76","318.97","324.90","318.23","3.65M","0.16%"
"04/01/2026","323.24","322.91","325.09","322.28","5.54M","0.76%"
"03/31/2026","320.81","315.35","321.52","314.75","6.76M","2.93%"
"03/30/2026","311.68","315.90","316.00","310.40","6.51M","-0.45%"
"03/27/2026","313.09","317.27","317.47","312.50","7.03M","-2.02%"
"03/26/2026","319.55","322.85","324.42","319.39","4.79M","-1.72%"
"03/25/2026","325.15","326.00","327.20","323.72","3.63M","0.61%"
"03/24/2026","323.18","321.66","325.13","321.35","4.38M","-0.31%"
"03/23/2026","324.19","325.02","327.85","323.47","7.89M","1.20%"
"03/20/2026","320.34","324.85","324.99","318.57","6.53M","-1.57%"
"03/19/2026","325.44","323.66","327.01","322.76","5.18M","-0.18%"
"03/18/2026","326.02","329.41","330.00","325.89","3.92M","-1.38%"
"03/17/2026","330.57","331.00","332.32","330.14","3.18M","0.34%"
"03/16/2026","329.46","329.22","330.97","328.57","3.77M","1.02%"
"03/13/2026","326.13","329.49","331.10","325.67","6.29M","-0.55%"
"03/12/2026","327.92","330.70","330.82","327.83","7.01M","-1.60%"
"03/11/2026","333.24","333.91","334.94","331.66","8.63M","-0.08%"
"03/10/2026","333.51","334.06","336.90","332.49","7.77M","-0.23%"
"03/09/2026","334.28","328.20","335.10","326.13","8.51M","0.87%"
"03/06/2026","331.41","331.91","333.15","330.00","8.64M","-1.37%"
"03/05/2026","336.00","336.58","338.36","333.14","8.66M","-0.65%"
"03/04/2026","338.19","336.79","339.06","335.34","5.46M","0.73%"
"03/03/2026","335.73","333.08","337.00","330.19","10.75M","-1.00%"
"03/02/2026","339.12","335.01","340.13","334.69","7.23M","0.10%"
"02/27/2026","338.77","337.33","338.99","336.49","6.04M","-0.51%"
"02/26/2026","340.49","342.00","342.13","337.90","4.98M","-0.39%"
"02/25/2026","341.83","340.60","342.13","340.32","3.98M","0.77%"
"02/24/2026","339.21","336.35","339.62","335.49","3.64M","0.82%"
"02/23/2026","336.46","339.50","340.45","335.43","10.77M","-1.12%"
"02/20/2026","340.27","336.99","340.71","336.82","7.05M","0.62%"
"02/19/2026","338.19","337.73","338.88","336.60","4.40M","-0.19%"
"02/18/2026","338.83","337.89","340.37","337.06","5.72M","0.52%"
"02/17/2026","337.07","336.11","338.18","333.57","7.11M","0.12%"
"02/13/2026","336.65","336.61","338.98","334.27","8.04M","0.19%"
"02/12/2026","336.01","342.69","343.33","335.63","7.01M","-1.60%"
"02/11/2026","341.47","343.95","344.30","339.92","5.06M","-0.10%"
