"Date","Price","Open","High","Low","Vol.","Change %"
"08/17/2026","62.50","62.15","62.51","61.79","13.31M","0.95%"
"08/14/2026","61.91","61.37","62.11","61.25","22.78M","1.39%"
"08/13/2026","61.06","60.52","61.13","60.23","20.70M","0.05%"
"08/12/2026","61.03","60.47","61.17","60.33","22.58M","0.16%"
"08/11/2026","60.93","59.99","61.08","59.99","22.40M","1.25%"
"08/10/2026","60.18","58.19","60.21","58.10","33.68M","4.66%"
"08/07/2026","57.50","57.53","58.04","57.11","21.09M","-1.13%"
"08/06/2026","58.16","58.39","58.56","57.58","25.08M","1.48%"
"08/05/2026","57.31","58.77","58.98","57.21","33.21M","-2.07%"
"08/04/2026","58.52","57.70","58.72","57.13","37.66M","-0.46%"
"08/03/2026","58.79","58.69","59.33","58.16","26.04M","-1.28%"
"07/31/2026","59.55","58.93","59.69","58.32","23.56M","1.00%"
"07/30/2026","58.96","58.08","59.10","58.02","23.05M","0.53%"
"07/29/2026","58.65","59.08","59.30","58.42","34.18M","1.88%"
"07/28/2026","57.57","58.41","58.79","57.25","27.80M","-1.35%"
"07/27/2026","58.36","58.41","59.28","58.23","33.83M","-2.11%"
"07/24/2026","59.62","59.40","60.45","59.40","34.18M","0.40%"
"07/23/2026","59.38","60.24","60.38","59.26","35.84M","0.30%"
"07/22/2026","59.20","59.27","59.52","58.90","29.55M","1.20%"
"07/21/2026","58.50","58.16","58.53","57.83","20.32M","0.97%"
"07/20/2026","57.94","57.56","58.38","57.41","27.33M","0.45%"
"07/17/2026","57.68","57.95","58.12","57.28","31.40M","1.16%"
"07/16/2026","57.02","56.66","57.30","56.60","27.48M","0.92%"
"07/15/2026","56.50","56.94","57.04","55.76","33.18M","-0.79%"
"07/14/2026","56.95","57.00","57.22","56.29","32.58M","0.37%"
"07/13/2026","56.74","55.86","56.97","55.86","41.20M","3.01%"
"07/10/2026","55.08","55.08","55.24","54.36","22.97M","0.47%"
"07/09/2026","54.82","55.28","55.48","54.73","21.77M","-1.40%"
"07/08/2026","55.60","55.46","56.03","54.87","39.74M","1.76%"
"07/07/2026","54.64","53.61","54.82","53.60","41.83M","2.84%"
"07/06/2026","53.13","53.06","53.55","53.00","24.74M","-0.17%"
"07/02/2026","53.22","53.24","53.65","52.91","28.54M","0.78%"
"07/01/2026","52.81","53.04","53.44","52.62","33.66M","-0.56%"
"06/30/2026","53.11","53.62","54.12","53.08","28.28M","-0.88%"
"06/29/2026","53.58","53.98","54.28","53.47","25.14M","-0.48%"
"06/26/2026","53.84","54.00","54.15","53.67","19.03M","-0.46%"
