"Date","Price","Open","High","Low","Vol.","Change %"
"08/17/2026","44.15","44.22","44.24","43.82","11.02M","-0.35%"
"08/14/2026","44.31","44.01","44.41","43.97","17.15M","0.61%"
"08/13/2026","44.04","43.89","44.19","43.88","17.86M","0.46%"
"08/12/2026","43.84","43.76","43.96","43.64","15.98M","0.48%"
"08/11/2026","43.63","43.13","43.71","43.08","19.69M","1.16%"
"08/10/2026","43.13","43.43","43.52","43.06","25.44M","-1.10%"
"08/07/2026","43.61","43.20","43.87","42.94","18.69M","0.53%"
"08/06/2026","43.38","44.15","44.27","43.15","27.02M","-0.64%"
"08/05/2026","43.66","44.10","44.13","43.28","26.06M","-1.02%"
"08/04/2026","44.11","44.25","44.29","43.58","26.77M","-0.56%"
"08/03/2026","44.36","44.24","44.66","43.94","25.87M","0.02%"
"07/31/2026","44.35","44.61","44.74","44.31","20.78M","-0.69%"
"07/30/2026","44.66","45.19","45.24","44.36","23.43M","-0.56%"
"07/29/2026","44.91","45.76","45.80","44.73","23.65M","-1.34%"
"07/28/2026","45.52","45.86","46.43","45.50","16.41M","-0.35%"
"07/27/2026","45.68","46.13","46.28","45.56","16.61M","-1.32%"
"07/24/2026","46.29","46.40","46.63","46.10","16.11M","0.22%"
"07/23/2026","46.19","45.65","46.33","45.60","13.70M","0.57%"
"07/22/2026","45.93","45.27","45.99","45.21","18.37M","2.25%"
"07/21/2026","44.92","44.87","45.04","44.64","15.89M","-0.04%"
"07/20/2026","44.94","45.33","45.66","44.81","17.83M","-0.51%"
"07/17/2026","45.17","45.90","46.15","45.06","20.92M","-0.66%"
"07/16/2026","45.47","45.24","45.62","45.12","15.62M","0.55%"
"07/15/2026","45.22","45.73","45.94","45.17","15.91M","-1.03%"
"07/14/2026","45.69","45.93","46.28","45.56","17.39M","-0.07%"
"07/13/2026","45.72","45.45","45.88","45.43","15.73M","0.68%"
"07/10/2026","45.41","45.12","45.48","45.09","14.05M","0.62%"
"07/09/2026","45.13","45.56","45.66","45.04","19.67M","-0.51%"
"07/08/2026","45.36","45.74","45.82","45.31","14.86M","-0.74%"
"07/07/2026","45.70","45.63","46.32","45.53","18.96M","0.88%"
"07/06/2026","45.30","45.71","45.83","45.11","19.18M","-1.01%"
"07/02/2026","45.76","45.03","45.80","45.00","24.34M","2.21%"
"07/01/2026","44.77","45.24","45.36","44.64","29.49M","-1.26%"
"06/30/2026","45.34","45.86","45.94","45.32","18.91M","-1.48%"
"06/29/2026","46.02","46.20","46.31","45.77","17.92M","-0.39%"
"06/26/2026","46.20","46.00","46.23","45.88","19.48M","0.76%"
"06/25/2026","45.85","45.66","46.19","45.49","19.26M","0.68%"
"06/24/2026","45.54","45.29","45.60","45.08","18.88M","1.04%"
"06/23/2026","45.07","44.75","45.20","44.46","22.30M","0.78%"
"06/22/2026","44.72","44.48","44.97","44.43","21.87M","-0.09%"
"06/18/2026","44.76","44.60","45.34","44.53","36.83M","0.67%"
"06/17/2026","44.46","44.82","45.17","44.24","22.21M","-1.33%"
"06/16/2026","45.06","44.84","45.50","44.76","16.40M","0.72%"
"06/15/2026","44.74","44.48","45.00","44.19","18.44M","0.47%"
"06/12/2026","44.53","44.19","44.61","44.19","17.94M","1.09%"
"06/11/2026","44.05","44.22","44.52","44.01","19.15M","0.11%"
"06/10/2026","44.00","44.22","44.28","43.79","17.78M","0.05%"
"06/09/2026","43.98","43.64","44.08","43.47","20.42M","1.06%"
"06/08/2026","43.52","44.32","44.38","43.47","20.84M","-1.87%"
"06/05/2026","44.35","44.04","44.62","43.97","21.35M","0.93%"
"06/04/2026","43.94","43.87","44.11","43.34","18.22M","0.53%"
"06/03/2026","43.71","43.96","44.48","43.67","21.95M","-0.43%"
"06/02/2026","43.90","43.21","43.96","43.17","27.37M","1.86%"
"06/01/2026","43.10","43.90","43.96","43.07","31.21M","-2.97%"
"05/29/2026","44.42","44.67","44.72","44.25","23.05M","-0.47%"
"05/28/2026","44.63","45.03","45.27","44.58","19.39M","-1.13%"
"05/27/2026","45.14","45.25","45.37","44.94","16.87M","-0.42%"
"05/26/2026","45.33","45.58","45.63","45.33","13.74M","-0.04%"
"05/22/2026","45.35","45.06","45.44","44.92","15.19M","0.78%"
"05/21/2026","45.00","44.55","45.01","44.44","18.78M","1.10%"
"05/20/2026","44.51","44.66","44.85","44.41","17.58M","0.38%"
"05/19/2026","44.34","43.82","44.41","43.62","22.31M","0.91%"
"05/18/2026","43.94","44.07","44.21","43.53","31.55M","0.16%"
"05/15/2026","43.87","44.71","44.76","43.83","21.86M","-2.29%"
"05/14/2026","44.90","44.63","44.92","44.54","18.47M","0.51%"
"05/13/2026","44.67","44.80","44.82","44.36","27.27M","-1.15%"
"05/12/2026","45.19","45.06","45.38","44.80","28.24M","0.11%"
"05/11/2026","45.14","45.10","45.31","44.83","22.67M","0.94%"
"05/08/2026","44.72","45.36","45.51","44.69","18.16M","-0.89%"
"05/07/2026","45.12","45.62","45.68","45.00","23.50M","-1.29%"
"05/06/2026","45.71","46.28","46.38","45.64","26.32M","-1.42%"
"05/05/2026","46.37","46.53","46.82","46.36","17.50M","0.00%"
