"Date","Price","Open","High","Low","Vol.","Change %"
"08/17/2026","116.57","117.88","117.93","116.55","3.14M","-1.38%"
"08/14/2026","118.20","118.47","119.18","118.09","3.84M","-0.21%"
"08/13/2026","118.45","118.04","118.93","117.89","4.52M","0.48%"
"08/12/2026","117.89","119.32","119.32","117.55","4.49M","-1.13%"
"08/11/2026","119.24","119.67","119.96","119.11","3.79M","-0.36%"
"08/10/2026","119.67","119.22","119.86","118.86","4.47M","-0.16%"
"08/07/2026","119.86","118.52","120.43","118.50","5.08M","1.49%"
"08/06/2026","118.10","118.61","118.79","117.71","4.83M","-0.46%"
"08/05/2026","118.64","119.28","119.64","118.07","6.12M","0.30%"
"08/04/2026","118.29","117.53","118.57","117.12","10.50M","0.07%"
"08/03/2026","118.21","117.64","119.12","117.64","10.04M","1.83%"
"07/31/2026","116.09","115.44","116.39","114.97","13.16M","3.29%"
"07/30/2026","112.39","112.17","112.79","111.46","8.07M","0.70%"
"07/29/2026","111.61","111.95","113.59","111.44","7.53M","-0.77%"
"07/28/2026","112.48","111.66","112.53","111.25","6.02M","1.48%"
"07/27/2026","110.84","110.87","111.36","110.30","6.98M","1.31%"
"07/24/2026","109.41","109.10","109.93","108.65","8.21M","0.60%"
"07/23/2026","108.76","110.48","110.59","108.29","12.65M","-4.61%"
"07/22/2026","114.02","114.90","115.23","113.82","7.11M","-0.74%"
"07/21/2026","114.87","114.64","115.17","114.28","6.56M","0.23%"
"07/20/2026","114.61","116.22","116.22","114.38","7.80M","-0.72%"
"07/17/2026","115.44","115.91","116.87","115.32","10.28M","-1.62%"
"07/16/2026","117.34","117.12","118.21","116.86","6.06M","0.29%"
"07/15/2026","117.00","116.46","117.81","116.46","9.07M","0.95%"
"07/14/2026","115.90","116.01","116.40","115.46","6.67M","-0.12%"
"07/13/2026","116.04","117.20","117.52","115.62","5.98M","-1.02%"
"07/10/2026","117.24","117.59","117.89","116.48","5.97M","0.33%"
"07/09/2026","116.85","114.72","116.88","114.55","8.52M","1.34%"
"07/08/2026","115.30","116.31","116.32","114.43","15.04M","-1.78%"
"07/07/2026","117.39","118.92","119.12","117.11","9.19M","-0.53%"
"07/06/2026","118.01","117.53","118.19","116.10","9.06M","0.76%"
"07/02/2026","117.12","118.63","119.21","116.57","10.88M","-0.82%"
"07/01/2026","118.09","117.78","119.16","116.90","9.86M","0.69%"
"06/30/2026","117.28","116.23","117.57","116.23","5.17M","0.14%"
"06/29/2026","117.12","115.21","117.54","115.04","10.59M","2.40%"
"06/26/2026","114.37","113.20","115.46","113.16","8.95M","0.90%"
"06/25/2026","113.35","114.65","115.06","113.13","7.15M","-1.49%"
"06/24/2026","115.07","114.15","116.96","113.93","8.30M","1.15%"
"06/23/2026","113.76","113.95","114.66","113.47","9.20M","-1.03%"
"06/22/2026","114.94","115.99","116.92","114.87","7.56M","-1.89%"
"06/18/2026","117.16","116.65","117.65","115.54","8.73M","1.45%"
"06/17/2026","115.49","117.81","118.17","115.18","9.07M","-2.51%"
"06/16/2026","118.46","118.67","119.46","118.34","6.05M","-0.09%"
"06/15/2026","118.57","118.61","119.51","118.31","6.59M","1.69%"
"06/12/2026","116.60","117.02","117.02","114.82","7.66M","0.26%"
"06/11/2026","116.30","114.12","116.46","113.44","8.68M","2.48%"
"06/10/2026","113.49","115.46","115.68","113.38","7.52M","-2.05%"
"06/09/2026","115.87","116.16","117.58","114.25","8.20M","0.42%"
"06/08/2026","115.39","114.77","116.02","114.77","6.31M","0.46%"
"06/05/2026","114.86","117.40","118.10","114.57","7.70M","-2.05%"
"06/04/2026","117.26","117.96","118.19","117.04","4.97M","0.45%"
"06/03/2026","116.73","116.63","117.62","116.13","6.09M","-0.73%"
"06/02/2026","117.59","117.52","118.27","116.56","8.22M","-0.51%"
"06/01/2026","118.19","119.69","119.83","117.97","11.01M","-2.22%"
"05/29/2026","120.87","121.60","122.18","120.83","7.26M","-0.97%"
"05/28/2026","122.06","121.10","122.19","120.57","7.59M","0.42%"
"05/27/2026","121.55","120.69","121.94","120.55","13.12M","1.76%"
"05/26/2026","119.45","119.73","120.24","118.69","5.01M","0.23%"
"05/22/2026","119.18","119.16","119.87","118.97","5.29M","0.40%"
"05/21/2026","118.70","117.59","119.21","116.81","7.08M","0.64%"
"05/20/2026","117.94","115.27","117.95","114.78","12.16M","2.53%"
"05/19/2026","115.03","115.13","115.32","114.19","8.58M","-1.11%"
"05/18/2026","116.32","116.50","117.78","115.54","9.99M","-0.18%"
"05/15/2026","116.53","117.31","117.37","116.31","10.45M","-1.80%"
"05/14/2026","118.67","119.01","119.68","118.56","5.97M","-0.04%"
"05/13/2026","118.72","118.06","119.23","117.45","4.61M","0.36%"
"05/12/2026","118.29","119.03","119.35","117.44","6.62M","-0.90%"
"05/11/2026","119.37","119.38","119.86","118.51","5.83M","-0.69%"
"05/08/2026","120.20","120.25","121.13","119.94","6.05M","0.27%"
"05/07/2026","119.88","120.59","121.10","119.32","7.93M","0.01%"
"05/06/2026","119.87","118.97","120.54","118.77","10.43M","1.52%"
"05/05/2026","118.07","118.59","119.29","118.05","6.22M","0.30%"
"05/04/2026","117.72","118.35","119.30","117.19","10.74M","-0.77%"
"05/01/2026","118.63","118.61","119.77","117.82","13.07M","0.24%"
"04/30/2026","118.35","118.50","118.67","116.43","10.28M","1.29%"
"04/29/2026","116.84","116.21","117.13","116.13","8.16M","-0.15%"
"04/28/2026","117.01","117.45","117.79","116.87","6.74M","-0.70%"
"04/27/2026","117.84","118.09","118.45","117.28","6.92M","-0.72%"
"04/24/2026","118.69","118.14","118.90","117.67","5.55M","0.81%"
"04/23/2026","117.74","118.22","118.85","116.67","7.53M","-1.00%"
"04/22/2026","118.93","119.53","119.76","118.66","5.29M","-0.03%"
"04/21/2026","118.97","120.83","120.90","118.68","7.21M","-0.75%"
"04/20/2026","119.87","120.14","120.40","118.85","5.45M","-0.45%"
"04/17/2026","120.41","119.69","121.85","119.46","9.84M","2.36%"
"04/16/2026","117.63","118.40","118.55","117.10","5.67M","-0.47%"
"04/15/2026","118.18","116.53","118.44","116.15","8.03M","1.49%"
"04/14/2026","116.44","114.65","116.82","114.57","8.13M","2.21%"
"04/13/2026","113.92","112.34","113.94","112.00","5.99M","0.91%"
"04/10/2026","112.89","113.00","113.46","112.24","5.61M","0.13%"
"04/09/2026","112.74","110.82","112.89","110.39","6.66M","1.73%"
"04/08/2026","110.82","112.25","112.61","110.28","14.44M","2.83%"
"04/07/2026","107.77","108.11","108.18","106.45","8.96M","-1.16%"
"04/06/2026","109.04","107.93","109.23","107.93","6.91M","0.82%"
