"Date","Price","Open","High","Low","Vol.","Change %"
"02/27/2026","311.76","304.14","312.37","303.80","44.64M","1.42%"
"02/26/2026","307.38","312.64","313.14","302.35","36.43M","-1.76%"
"02/25/2026","312.90","312.06","313.64","309.44","29.96M","0.64%"
"02/24/2026","310.90","310.52","312.27","305.93","25.62M","-0.19%"
"02/23/2026","311.49","319.05","319.52","309.86","31.42M","-1.11%"
"02/20/2026","314.98","304.32","316.50","303.90","53.21M","4.01%"
"02/19/2026","302.85","301.82","305.47","300.04","25.83M","-0.16%"
"02/18/2026","303.33","302.09","305.38","301.25","28.48M","0.43%"
"02/17/2026","302.02","300.04","304.43","296.25","39.25M","-1.21%"
"02/13/2026","305.72","307.73","308.63","303.71","38.50M","-1.06%"
"02/12/2026","309.00","312.09","316.24","307.20","47.76M","-0.63%"
"02/11/2026","310.96","318.97","321.06","309.66","45.41M","-2.39%"
"02/10/2026","318.58","320.97","321.67","314.61","39.17M","-1.77%"
"02/09/2026","324.32","320.93","327.70","317.26","39.64M","0.45%"
"02/06/2026","322.86","327.18","330.38","319.92","56.38M","-2.53%"
"02/05/2026","331.25","312.22","332.69","306.46","88.21M","-0.54%"
"02/04/2026","333.04","342.96","343.31","328.52","70.62M","-1.96%"
"02/03/2026","339.71","347.34","349.00","337.47","36.51M","-1.16%"
"02/02/2026","343.69","336.22","344.83","335.63","32.01M","1.68%"
"01/30/2026","338.00","340.00","340.00","332.29","31.02M","-0.07%"
"01/29/2026","338.25","340.30","342.29","326.54","39.79M","0.67%"
"01/28/2026","336.01","336.06","337.54","331.94","27.43M","0.44%"
"01/27/2026","334.55","335.36","337.91","333.48","21.64M","0.39%"
"01/26/2026","333.26","327.80","335.84","327.00","26.04M","1.63%"
"01/23/2026","327.93","332.48","333.69","327.45","27.28M","-0.79%"
"01/22/2026","330.54","334.45","335.15","328.75","26.25M","0.66%"
"01/21/2026","328.38","320.92","332.48","319.35","35.39M","1.98%"
"01/20/2026","322.00","320.87","327.73","320.43","35.36M","-2.42%"
"01/16/2026","330.00","334.41","334.65","327.70","40.34M","-0.84%"
"01/15/2026","332.78","337.65","337.69","330.74","28.44M","-0.91%"
"01/14/2026","335.84","335.06","336.52","330.48","28.53M","-0.04%"
"01/13/2026","335.97","334.95","340.49","333.62","33.52M","1.24%"
"01/12/2026","331.86","325.80","334.04","325.00","33.92M","1.00%"
"01/09/2026","328.57","327.09","330.83","325.80","26.21M","0.96%"
"01/08/2026","325.44","328.96","330.32","321.50","31.90M","1.07%"
"01/07/2026","321.98","314.36","326.15","314.19","35.10M","2.43%"
"01/06/2026","314.34","316.40","320.94","311.78","31.21M","-0.70%"
"01/05/2026","316.54","317.65","319.02","314.63","30.20M","0.44%"
"01/02/2026","315.15","316.90","322.50","310.33","32.01M","0.69%"
"12/31/2025","313.00","312.85","314.58","311.44","16.38M","-0.27%"
"12/30/2025","313.85","312.50","316.95","312.46","17.38M","0.09%"
"12/29/2025","313.56","311.36","314.02","310.62","19.62M","0.02%"
"12/26/2025","313.51","314.48","315.08","312.27","10.90M","-0.18%"
"12/24/2025","314.09","314.77","315.08","311.92","10.10M","-0.08%"
"12/23/2025","314.35","309.63","314.94","309.32","25.48M","1.48%"
"12/22/2025","309.78","309.88","310.13","305.30","26.43M","0.85%"
"12/19/2025","307.16","301.73","307.25","300.97","59.94M","1.55%"
"12/18/2025","302.46","301.72","303.96","299.23","33.52M","1.93%"
"12/17/2025","296.72","308.01","308.09","296.12","43.93M","-3.21%"
"12/16/2025","306.57","304.95","310.77","302.59","30.59M","-0.54%"
"12/15/2025","308.22","311.32","311.42","304.88","29.15M","-0.35%"
"12/12/2025","309.29","313.70","314.87","305.56","35.94M","-1.01%"
"12/11/2025","312.43","320.08","321.12","308.60","42.35M","-2.43%"
"12/10/2025","320.21","315.83","321.31","314.68","33.43M","0.99%"
"12/09/2025","317.08","312.37","317.99","311.89","30.19M","1.07%"
"12/08/2025","313.72","320.05","320.44","311.22","33.91M","-2.35%"
"12/05/2025","321.27","319.49","323.16","319.17","28.85M","1.15%"
"12/04/2025","317.62","322.23","322.36","314.70","31.24M","-0.63%"
"12/03/2025","319.63","315.89","321.58","314.10","41.84M","1.21%"
"12/02/2025","315.81","316.74","318.38","313.91","35.85M","0.29%"
"12/01/2025","314.89","317.70","319.85","313.89","41.18M","-1.65%"
"11/28/2025","320.18","323.36","326.85","316.79","26.02M","0.07%"
"11/26/2025","319.95","320.68","324.50","316.79","51.37M","-1.08%"
"11/25/2025","323.44","326.21","328.83","317.65","88.63M","1.53%"
"11/24/2025","318.58","311.13","319.48","309.60","85.17M","6.31%"
"11/21/2025","299.66","296.42","303.92","293.85","74.14M","3.53%"
"11/20/2025","289.45","304.54","306.42","288.67","62.03M","-1.15%"
"11/19/2025","292.81","287.16","303.81","286.63","68.20M","3.00%"
"11/18/2025","284.28","287.92","288.80","278.20","49.16M","-0.26%"
"11/17/2025","285.02","285.77","293.95","283.57","52.67M","3.11%"
"11/14/2025","276.41","271.40","278.56","270.70","31.65M","-0.78%"
"11/13/2025","278.57","282.34","282.84","277.24","29.49M","-2.84%"
"11/12/2025","286.71","291.67","292.01","283.69","24.83M","-1.58%"
"11/11/2025","291.31","287.74","291.92","287.32","19.84M","0.42%"
"11/10/2025","290.10","284.42","290.80","282.86","29.56M","4.04%"
"11/07/2025","278.83","283.20","283.78","275.19","34.48M","-2.08%"
"11/06/2025","284.75","285.33","288.35","281.14","37.17M","0.15%"
"11/05/2025","284.31","278.87","286.42","277.34","31.01M","2.44%"
"11/04/2025","277.54","276.75","281.27","276.26","30.08M","-2.18%"
"11/03/2025","283.72","282.17","285.53","279.80","29.79M","0.90%"
"10/31/2025","281.19","283.21","286.00","277.03","39.27M","-0.10%"
"10/30/2025","281.48","291.59","291.59","280.06","74.88M","2.52%"
"10/29/2025","274.57","267.75","275.34","267.67","43.58M","2.65%"
"10/28/2025","267.47","269.69","270.73","266.50","29.74M","-0.67%"
"10/27/2025","269.27","264.82","270.14","264.28","35.24M","3.60%"
"10/24/2025","259.92","256.58","261.68","255.32","28.66M","2.70%"
"10/23/2025","253.08","252.98","255.04","251.85","19.90M","0.55%"
"10/22/2025","251.69","254.37","256.36","249.29","35.03M","0.49%"
"10/21/2025","250.46","254.74","254.88","244.15","47.31M","-2.37%"
"10/20/2025","256.55","254.69","257.33","254.23","22.35M","1.28%"
"10/17/2025","253.30","250.76","254.22","247.81","29.67M","0.73%"
"10/16/2025","251.46","251.76","256.96","250.10","28.00M","0.17%"
"10/15/2025","251.03","247.24","252.11","245.99","27.01M","2.27%"
"10/14/2025","245.45","241.23","247.12","240.51","22.11M","0.53%"
"10/13/2025","244.15","240.21","244.50","239.71","25.00M","3.20%"
"10/10/2025","236.57","241.43","244.09","235.84","33.18M","-2.05%"
"10/09/2025","241.53","244.47","244.76","239.15","27.89M","-1.26%"
"10/08/2025","244.62","244.96","246.01","243.82","21.31M","-0.46%"
"10/07/2025","245.76","248.27","250.44","245.52","23.18M","-1.86%"
"10/06/2025","250.43","244.78","251.32","244.58","28.89M","2.07%"
"10/03/2025","245.35","244.49","246.30","241.65","30.25M","-0.14%"
"10/02/2025","245.69","245.15","246.81","242.30","25.48M","0.32%"
"10/01/2025","244.90","240.75","246.30","238.61","31.66M","0.74%"
"09/30/2025","243.10","242.81","243.29","239.24","34.72M","-0.39%"
"09/29/2025","244.05","247.85","251.15","242.77","32.51M","-1.01%"
"09/26/2025","246.54","247.07","249.42","245.97","18.50M","0.31%"
"09/25/2025","245.79","244.40","246.49","240.74","31.02M","-0.55%"
"09/24/2025","247.14","251.66","252.35","246.44","28.20M","-1.80%"
"09/23/2025","251.66","253.04","254.36","250.48","26.63M","-0.34%"
"09/22/2025","252.53","254.43","255.78","250.30","32.29M","-0.86%"
"09/19/2025","254.72","253.25","256.00","251.81","55.57M","1.07%"
"09/18/2025","252.03","251.68","253.99","249.80","31.24M","1.00%"
"09/17/2025","249.53","251.22","251.60","246.28","34.11M","-0.65%"
"09/16/2025","251.16","252.08","253.04","249.47","34.11M","-0.18%"
"09/15/2025","251.61","244.66","252.41","244.66","58.38M","4.49%"
"09/12/2025","240.80","240.37","242.07","238.00","26.77M","0.18%"
"09/11/2025","240.37","239.88","242.25","236.25","30.60M","0.50%"
"09/10/2025","239.17","238.90","241.66","237.85","35.14M","-0.19%"
"09/09/2025","239.63","234.16","240.47","233.23","38.06M","2.39%"
"09/08/2025","234.04","235.47","238.13","233.67","32.47M","-0.41%"
"09/05/2025","235.00","232.20","235.76","231.90","46.59M","1.16%"
"09/04/2025","232.30","229.65","232.37","226.11","51.68M","0.71%"
"09/03/2025","230.66","226.21","231.31","224.79","103.34M","9.14%"
"09/02/2025","211.35","208.44","211.68","206.20","47.52M","-0.73%"
"08/29/2025","212.91","210.51","214.65","210.20","39.73M","0.60%"
"08/28/2025","211.64","207.25","212.22","206.90","32.34M","2.01%"
"08/27/2025","207.48","205.70","208.91","205.65","23.02M","0.16%"
"08/26/2025","207.14","207.51","207.85","205.70","28.46M","-0.65%"
"08/25/2025","208.49","206.43","210.52","205.28","29.93M","1.16%"
"08/22/2025","206.09","202.73","208.54","201.30","42.83M","3.17%"
"08/21/2025","199.75","199.74","202.48","199.43","19.77M","0.22%"
"08/20/2025","199.32","200.73","201.28","196.60","28.96M","-1.12%"
"08/19/2025","201.57","203.03","203.44","199.96","24.24M","-0.95%"
"08/18/2025","203.50","204.20","205.26","202.49","18.53M","-0.20%"
"08/15/2025","203.90","203.85","206.44","201.28","34.93M","0.47%"
"08/14/2025","202.94","201.50","204.44","201.23","25.23M","0.49%"
"08/13/2025","201.96","204.13","204.53","197.51","28.34M","-0.68%"
"08/12/2025","203.34","201.37","204.50","200.59","30.42M","1.16%"
"08/11/2025","201.00","200.93","201.48","199.07","25.83M","-0.21%"
"08/08/2025","201.42","197.22","202.61","197.17","39.16M","2.49%"
"08/07/2025","196.52","197.06","197.54","194.33","26.32M","0.22%"
"08/06/2025","196.09","194.50","196.63","193.67","21.56M","0.73%"
"08/05/2025","194.67","194.71","197.86","193.88","31.60M","-0.19%"
"08/04/2025","195.04","190.29","195.27","190.12","31.55M","3.12%"
"08/01/2025","189.13","189.02","190.83","187.82","34.83M","-1.44%"
"07/31/2025","191.90","195.71","195.99","191.09","51.33M","-2.36%"
"07/30/2025","196.53","195.60","197.60","194.68","32.45M","0.40%"
"07/29/2025","195.75","192.43","195.92","192.08","41.39M","1.65%"
"07/28/2025","192.58","193.65","194.05","190.84","38.14M","-0.31%"
"07/25/2025","193.18","191.98","194.33","191.26","39.79M","0.53%"
"07/24/2025","192.17","197.03","197.95","191.00","74.88M","1.02%"
"07/23/2025","190.23","191.50","192.53","189.18","58.68M","-0.58%"
"07/22/2025","191.34","191.49","191.65","187.46","44.66M","0.65%"
"07/21/2025","190.10","186.25","190.29","186.15","45.80M","2.72%"
"07/18/2025","185.06","185.40","186.42","183.71","34.01M","0.81%"
"07/17/2025","183.58","182.14","184.06","180.48","31.99M","0.33%"
"07/16/2025","182.97","183.24","184.33","182.03","33.10M","0.53%"
"07/15/2025","182.00","182.81","184.22","181.60","33.45M","0.24%"
"07/14/2025","181.56","181.01","183.67","179.68","32.54M","0.76%"
"07/11/2025","180.19","176.79","181.43","176.48","34.28M","1.45%"
"07/10/2025","177.62","175.63","178.43","174.38","29.25M","0.57%"
"07/09/2025","176.62","175.25","179.44","172.77","43.03M","1.30%"
