"Date","Price","Open","High","Low","Vol.","Change %"
"02/13/2026","182.81","187.48","187.50","181.59","161.89M","-2.21%"
"02/12/2026","186.94","193.03","193.61","186.51","189.93M","-1.64%"
"02/11/2026","190.05","192.45","193.26","188.77","144.19M","0.80%"
"02/10/2026","188.54","191.38","192.48","188.12","136.76M","-0.79%"
"02/09/2026","190.04","184.26","193.66","183.95","196.39M","2.50%"
"02/06/2026","185.41","176.69","187.00","174.60","231.35M","7.87%"
"02/05/2026","171.88","174.93","176.82","171.03","206.31M","-1.33%"
"02/04/2026","174.19","179.46","179.58","171.91","207.01M","-3.41%"
"02/03/2026","180.34","186.24","186.27","176.23","204.02M","-2.84%"
"02/02/2026","185.61","187.20","190.30","184.88","165.79M","-2.89%"
"01/30/2026","191.13","191.21","194.49","189.47","179.49M","-0.72%"
"01/29/2026","192.51","191.34","193.48","186.06","171.76M","0.52%"
"01/28/2026","191.52","191.27","192.35","189.84","148.55M","1.59%"
"01/27/2026","188.52","187.24","190.00","185.70","143.71M","1.10%"
"01/26/2026","186.47","187.16","189.12","185.99","124.80M","-0.64%"
"01/23/2026","187.67","187.50","189.60","186.82","142.75M","1.53%"
"01/22/2026","184.84","184.75","186.17","183.93","139.64M","0.83%"
"01/21/2026","183.32","179.05","185.38","178.40","200.38M","2.95%"
"01/20/2026","178.07","181.90","182.38","177.61","223.35M","-4.38%"
"01/16/2026","186.23","189.07","190.44","186.08","187.97M","-0.44%"
