Asset Name,Last Close,1M % Chg,YTD % Chg,52w Low,52w High,52w Range,Last 10 Days Return,Category
USD_SEK,8.9193,-3.296000346947408,-3.1920897822736474,8.7619,10.9162,2.154299999999999,"[0.82, -0.33, 1.37, 0.5, -0.76, 0.96, 0.8, -0.41, -0.2, -0.95]",Currencies
USD_GBP,0.7314,-1.706759844106966,-1.455133387227152,0.7221,0.8082,0.08610000000000007,"[0.29, 0.0, 0.87, 0.16, -0.23, 0.33, 0.93, -0.62, 0.03, -0.47]",Currencies
USD_JPY,155.93,-0.6055583885772492,-0.4723303759494356,140.85,159.14,18.289999999999992,"[0.8, -0.19, 1.08, 0.55, 0.08, 0.72, 0.11, 0.11, 0.04, -0.85]",Currencies
USD_CAD,1.3561,-2.1855164454702822,-1.2092955489181867,1.349,1.4478,0.0988,"[-0.13, -0.49, 0.94, 0.47, -0.29, 0.16, 0.35, -0.23, -0.15, -0.72]",Currencies
EUR_USD,1.1912,2.1612349914236804,1.413247062829895,1.0306,1.2041,0.1735,"[-0.72, 0.14, -1.01, -0.5, 0.24, -0.1, -0.25, 0.34, 0.08, 0.72]",Currencies
Apple,272.26,5.103458925262496,0.14713455455012775,172.42,286.19,113.77000000000001,"[1.12, -0.71, 0.72, 0.46, 4.06, -0.2, 2.6, -0.21, 0.8, -2.11]",Equities - Magnificent Seven
NVIDIA,192.35,3.9504971897968018,3.1367292225201044,94.31,207.04,112.72999999999999,"[1.1, 1.59, 0.52, -0.72, -2.89, -2.84, -3.41, -1.33, 7.87, 3.74]",Equities - Magnificent Seven
Microsoft,412.2,-13.785530526447893,-14.767792895248338,354.56,542.07,187.51000000000005,"[2.19, 0.22, -9.99, -0.74, -1.61, -2.87, 0.72, -4.95, 1.9, 2.76]",Equities - Magnificent Seven
Alphabet A,325.58,0.04301868239920918,4.019169329073477,144.7,343.69,198.99,"[0.39, 0.44, 0.67, -0.07, 1.68, -1.16, -1.96, -0.54, -2.53, 0.84]",Equities - Magnificent Seven
Meta Platforms,680.27,5.295173822864756,3.057158872274985,484.66,790.0,305.34,"[0.09, -0.63, 10.4, -2.95, -1.41, -2.08, -3.28, 0.18, -1.31, 2.84]",Equities - Magnificent Seven
Tesla,420.2,-3.5796236805874306,-6.564084319131913,221.86,489.88,268.02,"[-0.99, 0.13, -3.45, 3.32, -2.0, 0.04, -3.78, -2.17, 3.5, 2.21]",Equities - Magnificent Seven
Amazon.com,212.19,-13.84546672621706,-8.071224330647256,167.32,254.0,86.68,"[2.63, -0.68, -0.53, -1.01, 1.53, -1.79, -2.36, -4.42, -5.55, 0.89]",Equities - Magnificent Seven
Italy 10-Year Bond Yield,3.459,-0.3744239631336377,-1.509111617312071,3.347,3.955,0.6080000000000001,"[0.12, -0.23, -0.57, 0.37, 0.67, 0.45, -0.61, -0.21, 0.06, -0.49]",Long-Term Bonds
United States 10-Year Bond Yield,4.203,0.47812574707149086,0.6706586826347418,3.953,4.625,0.6720000000000002,"[0.66, -0.56, 0.33, 0.85, -0.09, 0.12, -1.59, -0.1, 0.4, -0.47]",Long-Term Bonds
Japan 10-Year Bond Yield,2.284,10.019267822736017,10.23166023166022,1.128,2.341,1.2130000000000003,"[1.96, -2.14, 0.67, -0.27, -0.62, 1.17, -0.22, -1.11, 0.36, 2.19]",Long-Term Bonds
